trainer_name,sprint_starts,wins,sprint_strike,expected_wins,expected_strike,break_on_top,break_on_top_strike,break_on_top_and_won,break_on_top_and_won_strike,break_on_top_expected_wins,break_on_top_and_won_expected_strike,break_last,break_last_strike,break_last_and_won,break_last_and_won_strike,break_last_expected_wins,break_last_and_won_expected_strike
Molly J. Pearson,52,4,0.076923077,6.02358677,0.115384615,3,0.057692308,1,0.019230769,0.44591092,0,7,0.134615385,0,0,0.379421283,0
Scott A. Lake,59,5,0.084745763,8.445638977,0.13559322,3,0.050847458,2,0.033898305,0.641500716,0.016949153,8,0.13559322,1,0.016949153,1.269721721,0.016949153
William E. Morey,88,13,0.147727273,12.67935537,0.147727273,3,0.034090909,1,0.011363636,0.633423899,0.011363636,18,0.204545455,2,0.022727273,2.911329676,0.034090909
Bart G. Hone,56,5,0.089285714,6.65399121,0.125,3,0.053571429,0,0,0.328699892,0,12,0.214285714,2,0.035714286,1.741496125,0.035714286
Hector O. Palma,68,9,0.132352941,6.396094923,0.088235294,3,0.044117647,0,0,0.31920761,0,26,0.382352941,3,0.044117647,1.928993055,0.029411765
Gary Sciacca,66,1,0.015151515,2.847235615,0.045454545,3,0.045454545,0,0,0.296338742,0,13,0.196969697,0,0,0.506760209,0.015151515
J. Kent Sweezey,53,0,0,3.686297765,0.075471698,3,0.056603774,0,0,0.461272744,0,12,0.226415094,0,0,0.871668079,0.018867925
Michael A. Tomlinson,65,4,0.061538462,3.574091513,0.061538462,3,0.046153846,1,0.015384615,0.113665732,0,20,0.307692308,1,0.015384615,1.156825584,0.015384615
Claudio A. Gonzalez,61,17,0.278688525,11.56131745,0.196721311,3,0.049180328,0,0,0.54087301,0.016393443,13,0.213114754,4,0.06557377,2.691896684,0.049180328
Jose Corrales,63,0,0,3.991026992,0.063492063,3,0.047619048,0,0,0.238280571,0,17,0.26984127,0,0,1.40048745,0.015873016
Paul M. Buttigieg,62,3,0.048387097,3.805043178,0.064516129,3,0.048387097,0,0,0.147318206,0,8,0.129032258,1,0.016129032,0.41827485,0
Marvin A. Johnson,60,6,0.1,4.816663564,0.083333333,3,0.05,1,0.016666667,0.165038444,0,9,0.15,1,0.016666667,0.717869524,0.016666667
Henry Dominguez,63,9,0.142857143,9.175010981,0.142857143,3,0.047619048,2,0.031746032,0.5875666,0.015873016,11,0.174603175,0,0,1.722230338,0.031746032
Jaime Mejia,59,0,0,1.424045987,0.016949153,3,0.050847458,0,0,0.071736185,0,27,0.457627119,0,0,0.662131352,0.016949153
Mark A. Hennig,87,12,0.137931034,9.815742141,0.114942529,3,0.034482759,0,0,0.28360118,0,16,0.183908046,2,0.022988506,1.76328653,0.022988506
"Edward Plesa, Jr.",67,3,0.044776119,7.37772818,0.104477612,3,0.044776119,1,0.014925373,0.563672805,0.014925373,12,0.179104478,1,0.014925373,1.247661824,0.014925373
Joel H. Marr,109,18,0.165137615,16.36595697,0.146788991,3,0.027522936,0,0,0.362845617,0,27,0.247706422,3,0.027522936,4.570448596,0.04587156
Clifford DeLima,52,3,0.057692308,4.371051661,0.076923077,2,0.038461538,0,0,0.119258992,0,13,0.25,1,0.019230769,1.282132515,0.019230769
Casey T. Lambert,88,7,0.079545455,8.380692378,0.090909091,2,0.022727273,1,0.011363636,0.560750361,0.011363636,30,0.340909091,0,0,2.719056539,0.034090909
Sal Gonzalez,51,4,0.078431373,2.677930606,0.058823529,2,0.039215686,1,0.019607843,0.149873696,0,13,0.254901961,1,0.019607843,0.562383234,0.019607843
Thomas Albertrani,68,5,0.073529412,3.496621893,0.044117647,2,0.029411765,1,0.014705882,0.359172414,0,15,0.220588235,1,0.014705882,0.758750085,0.014705882
"Thomas Drury, Jr.",69,10,0.144927536,10.3538399,0.144927536,2,0.028985507,0,0,0.441964286,0,14,0.202898551,1,0.014492754,1.862585818,0.028985507
Ronnie P. Ward,57,5,0.087719298,3.250149855,0.052631579,2,0.035087719,0,0,0.05777011,0,9,0.157894737,0,0,0.395079664,0
Bruce M. Kravets,59,5,0.084745763,5.51962802,0.101694915,2,0.033898305,0,0,0.102761905,0,14,0.237288136,0,0,0.923585269,0.016949153
Michael E. Biehler,50,5,0.1,4.39056189,0.08,2,0.04,0,0,0.396595041,0,11,0.22,0,0,0.916358246,0.02
Eric R. Reed,80,10,0.125,11.14473388,0.1375,2,0.025,0,0,0.108500418,0,26,0.325,3,0.0375,3.788973683,0.05
Brian Williamson,58,5,0.086206897,3.565016756,0.068965517,2,0.034482759,0,0,0.087544017,0,14,0.24137931,1,0.017241379,0.690815117,0.017241379
Joan Petrowski,57,7,0.122807018,3.61269069,0.070175439,2,0.035087719,1,0.01754386,0.339499389,0,18,0.315789474,2,0.035087719,1.073353536,0.01754386
Kenneth Nolen,50,8,0.16,5.524015811,0.12,2,0.04,1,0.02,0.235660797,0,12,0.24,1,0.02,1.114091408,0.02
Boyd Caster,57,6,0.105263158,5.09026713,0.087719298,2,0.035087719,1,0.01754386,0.448141321,0,15,0.263157895,0,0,1.180993236,0.01754386
Ingrid Mason,51,6,0.117647059,6.114840455,0.117647059,2,0.039215686,1,0.019607843,0.507222222,0.019607843,7,0.137254902,1,0.019607843,1.336050178,0.019607843
M. Brent Davidson,63,4,0.063492063,2.952555055,0.047619048,2,0.031746032,0,0,0.106695027,0,7,0.111111111,0,0,0.371918535,0
"Robert B. Hess, Jr.",70,5,0.071428571,5.567286055,0.085714286,2,0.028571429,1,0.014285714,0.330537676,0,13,0.185714286,0,0,0.994507651,0.014285714
Bruce N. Levine,59,5,0.084745763,5.001619997,0.084745763,2,0.033898305,2,0.033898305,0.253781513,0,13,0.220338983,1,0.016949153,0.850735563,0.016949153
Philip A. Sims,56,6,0.107142857,4.84481392,0.089285714,2,0.035714286,0,0,0.222307692,0,8,0.142857143,2,0.035714286,0.608953942,0.017857143
Norman McKnight,57,13,0.228070175,11.29893766,0.192982456,2,0.035087719,1,0.01754386,0.470463362,0,14,0.245614035,0,0,2.861254475,0.052631579
Doug L. Anderson,57,4,0.070175439,5.966473081,0.105263158,2,0.035087719,2,0.035087719,0.664364035,0.01754386,12,0.210526316,0,0,0.875471508,0.01754386
John Ennis,51,7,0.137254902,4.738121613,0.098039216,2,0.039215686,0,0,0.208974359,0,6,0.117647059,0,0,1.026691566,0.019607843
Steven B. Flint,53,7,0.132075472,10.97373619,0.20754717,2,0.037735849,0,0,0.3459835,0,12,0.226415094,0,0,2.244022081,0.037735849
William N. Martin,60,2,0.033333333,4.723802079,0.083333333,2,0.033333333,0,0,0.143997501,0,7,0.116666667,1,0.016666667,0.434245586,0
Hugh H. Robertson,56,10,0.178571429,8.237399381,0.142857143,2,0.035714286,1,0.017857143,0.365595238,0,15,0.267857143,1,0.017857143,2.332832153,0.035714286
Jorge R. Abreu,57,16,0.280701754,6.835283827,0.122807018,2,0.035087719,1,0.01754386,0.322368421,0,13,0.228070175,5,0.087719298,1.323613299,0.01754386
Gary P. Gullo,62,7,0.112903226,5.096347955,0.080645161,2,0.032258065,0,0,0.087455471,0,15,0.241935484,2,0.032258065,1.099861923,0.016129032
Armando De La Cerda,53,8,0.150943396,6.744799642,0.132075472,2,0.037735849,0,0,0.262743506,0,11,0.20754717,1,0.018867925,1.322762455,0.018867925
"Ignacio Correas, IV",58,8,0.137931034,6.336326139,0.103448276,2,0.034482759,0,0,0.205955175,0,8,0.137931034,0,0,0.528025967,0.017241379
Austin Gustafson,57,7,0.122807018,7.689509228,0.140350877,2,0.035087719,0,0,0.452130326,0,15,0.263157895,2,0.035087719,2.582226074,0.052631579
Jorge Lara,61,7,0.114754098,4.485666926,0.06557377,2,0.032786885,1,0.016393443,0.136266372,0,14,0.229508197,1,0.016393443,0.691468939,0.016393443
Michelle Nevin,82,7,0.085365854,7.973143667,0.097560976,2,0.024390244,2,0.024390244,0.263936791,0,16,0.195121951,0,0,1.2312643,0.012195122
George Papaprodromou,51,2,0.039215686,2.255184871,0.039215686,1,0.019607843,0,0,0.050945783,0,16,0.31372549,0,0,0.571220787,0.019607843
Barbara J. Minshall,51,6,0.117647059,5.503002408,0.117647059,1,0.019607843,0,0,0.13608,0,18,0.352941176,0,0,2.02776208,0.039215686
Josie Carroll,64,13,0.203125,9.452343955,0.140625,1,0.015625,1,0.015625,0.319230769,0,9,0.140625,2,0.03125,1.172714706,0.015625
Steve Margolis,52,0,0,4.322455547,0.076923077,1,0.019230769,0,0,0.068032787,0,10,0.192307692,0,0,0.643069194,0.019230769
David C. Anderson,60,8,0.133333333,6.406592348,0.1,1,0.016666667,0,0,0.133870968,0,20,0.333333333,1,0.016666667,1.879528032,0.033333333
"Ronnie E. Cravens, III",68,7,0.102941176,7.354483402,0.102941176,1,0.014705882,0,0,0.25625,0,14,0.205882353,1,0.014705882,1.766010076,0.029411765
Thomas F. Proctor,105,5,0.047619048,15.47010991,0.142857143,1,0.00952381,0,0,0.115277778,0,21,0.2,0,0,3.299740676,0.028571429
J. Eric Kruljac,56,3,0.053571429,3.782302916,0.071428571,1,0.017857143,0,0,0.132140625,0,13,0.232142857,0,0,0.477213876,0
Ronald B. Spatz,53,10,0.188679245,6.569163647,0.132075472,1,0.018867925,0,0,0.224324324,0,8,0.150943396,0,0,1.012595891,0.018867925
Mindy J. Willis,60,4,0.066666667,5.397217168,0.083333333,1,0.016666667,0,0,0.1025,0,15,0.25,0,0,1.631890696,0.033333333
Tim Glyshaw,51,4,0.078431373,3.561346592,0.078431373,1,0.019607843,0,0,0.013517915,0,8,0.156862745,0,0,0.391261338,0
Chris J. Englehart,73,9,0.123287671,7.060943864,0.095890411,0,0,0,0,0,0,23,0.315068493,3,0.04109589,2.948826588,0.04109589
Michael Dini,52,5,0.096153846,4.259670586,0.076923077,0,0,0,0,0,0,17,0.326923077,0,0,1.216296675,0.019230769
Michael J. Doyle,51,5,0.098039216,4.116067829,0.078431373,0,0,0,0,0,0,10,0.196078431,0,0,0.620643898,0.019607843
Rodolphe Brisset,65,10,0.153846154,8.101810025,0.123076923,0,0,0,0,0,0,11,0.169230769,0,0,2.023312737,0.030769231
Ivan Vazquez,54,2,0.037037037,2.888610901,0.055555556,0,0,0,0,0,0,15,0.277777778,0,0,0.842771465,0.018518519
