trainer_name,sprint_starts,wins,sprint_strike,expected_wins,expected_strike,break_on_top,break_on_top_strike,break_on_top_and_won,break_on_top_and_won_strike,break_on_top_expected_wins,break_on_top_and_won_expected_strike,break_last,break_last_strike,break_last_and_won,break_last_and_won_strike,break_last_expected_wins,break_last_and_won_expected_strike
"Ollie L. Figgins, III",55,10,0.181818182,8.552425187,0.163636364,6,0.109090909,3,0.054545455,1.062564128,0.018181818,8,0.145454545,0,0,0.724912826,0.018181818
Claude R. McGaughey III,98,10,0.102040816,10.32465341,0.102040816,6,0.06122449,1,0.010204082,0.571467497,0.010204082,22,0.224489796,0,0,2.531242858,0.030612245
Dane Kobiskie,62,7,0.112903226,8.830590236,0.14516129,6,0.096774194,1,0.016129032,1.297240652,0.016129032,12,0.193548387,1,0.016129032,1.713318865,0.032258065
James A. Jerkens,60,6,0.1,6.72795986,0.116666667,6,0.1,2,0.033333333,0.58902281,0.016666667,19,0.316666667,0,0,1.997079089,0.033333333
Craig Robert Smith,67,9,0.134328358,10.54692158,0.164179104,6,0.089552239,2,0.029850746,0.864986305,0.014925373,11,0.164179104,0,0,1.133585045,0.014925373
Robertino Diodoro,100,19,0.19,16.95536426,0.17,6,0.06,2,0.02,1.049390202,0.01,17,0.17,1,0.01,2.537351443,0.03
Kathleen A. Demasi,94,14,0.14893617,16.23111016,0.170212766,6,0.063829787,2,0.021276596,1.320001778,0.010638298,14,0.14893617,1,0.010638298,2.60082056,0.031914894
John A. Hancock,60,6,0.1,6.964900337,0.116666667,6,0.1,0,0,0.608448719,0.016666667,8,0.133333333,0,0,1.158503932,0.016666667
Peter Eurton,97,8,0.082474227,10.11736711,0.103092784,6,0.06185567,1,0.010309278,0.549878301,0.010309278,25,0.257731959,0,0,3.356407788,0.030927835
Brendan P. Walsh,98,13,0.132653061,11.56163526,0.12244898,6,0.06122449,2,0.020408163,0.656026337,0.010204082,17,0.173469388,0,0,1.607037701,0.020408163
Anthony Farrior,62,12,0.193548387,13.06900198,0.209677419,6,0.096774194,2,0.032258065,1.515885763,0.032258065,13,0.209677419,2,0.032258065,3.081023023,0.048387097
Jeff Bonde,113,7,0.061946903,13.94081346,0.123893805,6,0.053097345,1,0.008849558,0.914537514,0.008849558,24,0.212389381,0,0,2.574762872,0.026548673
Scott Becker,123,20,0.162601626,22.36892881,0.178861789,6,0.048780488,2,0.016260163,0.908686948,0.008130081,29,0.235772358,3,0.024390244,5.455517557,0.040650407
