Date,Horse,Age,Country,Race Name,Distance Furlongs,Surface,Notes
2018-11-24,Galaxy Star,6,NZ,Railway Stakes,8,Turf,
2018-12-08,Aracadia Queen,3,AUS,Kingston Town Classic,9,Turf,
2018-12-08,Danzdanzdance,4,NZ,Captain Cook Stakes,8,Turf,
2018-12-26,Danzdanzdance,4,NZ,Zabeel Classic,10,Turf,
2019-01-01,Santa Monica,5,NZ,Railway Stakes,6,Turf,
2019-02-09,Melody Belle,4,NZ,BCD Group Sprint,7,Turf,
2019-02-16,In Her Time,6,AUS,Black Caviar Lightning Stakes,5,Turf,
2019-02-23,Lyre,2,AUS,Blue Diamond Stakes,6,Turf,
2019-02-23,Booker,4,AUS,Oakleigh Plate,5.5,Turf,
2019-02-23,Alizee,4,AUS,Futurity Stakes,7,Turf,
2019-03-02,Winx,7,AUS,Chipping Norton Stakes,8,Turf,
2019-03-02,Mystic Journey,3,AUS,Australian Guineas,8,Turf,
2019-03-09,Sunlight,3,AUS,Newmarket Handicap,6,Turf,
2019-03-09,Glory Days,6,NZ,Auckland Cup,16,Turf,
2019-03-09,Melody Belle,4,NZ,New Zealand Stakes,10,Turf,
2019-03-22,Sunlight,3,AUS,William Reid Stakes,6,Turf,
2019-03-23,Winx,7,AUS,George Ryder Stakes,7.5,Turf,
2019-03-23,Kiamichi,2,AUS,Golden Slipper Stakes,6,Turf,
2019-03-30,Almond Eye,4,UAE,Dubai Turf,9,Turf,
2019-04-13,Winx,7,AUS,Queen Elizabeth Stakes,10,Turf,
2019-05-11,Qafila,3,AUS,South Australian Derby,12.5,Turf,
2019-05-18,Kenedna,5,AUS,Doomben Cup,10,Turf,
2019-05-26,Magical,4,IRE,Tattersalls Gold Cup,10.5,Turf,
2019-06-09,Jolie Olimpica,2,BRZ,Grande Premio Jockey Club Brasileiro,8,Turf,
2019-06-26,Lys Gracieux,5,JPN,Takarazuka Kinen,11,Turf,
2019-06-28,Coronet,5,FR,Grand Prix de Saint-Cloud,12,Turf,
2019-07-06,Enable,5,ENG,Coral-Eclipse,10,Turf,
2019-07-27,Enable,5,ENG,King George IV and Queen Elizabeth,12,Turf,
2019-08-10,Got Stormy,4,US,Fourstardave Handicap,8,Turf,
2019-08-31,Melody Belle,5,NZ,Tarzino Trophy,7,Turf,
2019-10-05,Melody Belle,5,NZ,Livamol Classic,10,Turf,
2019-10-06,Glass Slippers,3,FR,Prix de l'Abbaye de Longchamp,5,Turf,
2019-10-06,One Master,5,FR,Prix de la Foret,7,Turf,
2019-10-14,Magical,4,IRE,Irish Champion Stakes,10,Turf,
2019-10-15,Search for a Song,3,IRE,Irish St. Leger,14,Turf,
2019-10-15,Fairyland,3,IRE,Flying Five Stakes,5,Turf,
2019-10-19,Magical,4,ENG,Quipco Middle Distance Champion Stakes,10,Turf,
2019-10-21,Melody Belle,5,NZ,Windsor Park Plate,8,Turf,
2019-10-25,Loving Gaby,3,AUS,Manikato Stakes,6,Turf,
2019-10-26,Lys Gracieux,5,AUS,Cox Plate,10,Turf,
2019-10-27,Almond Eye,4,JPN,Autumn Tenno Sho,10,Turf,
2019-11-02,Belvoir Bay,6,US,Breeders' Cup Turf Sprint,5,Turf,
2019-11-02,Uni,5,US,Breeders' Cup Mile,8,Turf,
2019-11-09,Magic Wand,6,AUS,Mackinnon Stakes,10,Turf,
2019-12-07,Kay Cee,3,AUS,Kingston Town Classic,9,Turf,
2019-12-22,Lys Gracieux,5,JPN,Arima Kinen,12.5,Turf,
2020-01-18,Avantage,4,NZ,Telegraph Stakes,6,Turf,
2020-02-22,Avantage,4,NZ,Haunui Farm Classic,8,Turf,
2020-02-22,Pippie,4,AUS,Oakleigh Plate,6,Turf,
2020-03-07,Avantage,4,NZ,New Zealand Stakes,10,Turf,
2020-03-20,Loving Gaby,3,AUS,William Reid Stakes,6,Turf,
2020-03-21,I Am Excited,5,AUS,Galaxy Stakes,5.5,Turf,
2020-03-28,Verry Elleegent,4,AUS,Tancred Stakes,12,Turf,
2020-04-04,Nettoyer,6,AUS,Doncaster Mile,8,Turf,
2020-04-11,Etah James,7,AUS,Sydney Cup,16,Turf,
2020-04-18,Tofane,4,AUS,All Aged Stakes,7,Turf,
2020-06-07,Gran Alegria,4,JPN,Yasuda Kinen,8,Turf,
2020-06-20,Oleksandra,5,US,Stradbroke Handicap,6,Turf,
2020-06-28,Chrono Genesis,4,JPN,Takaranzuka Kinen,11,Turf,
2020-07-25,Enable,6,ENG,King George IV and Queen Elizabeth,12,Turf,
2020-07-26,Magical,5,IRE,Gold Cup,10,Turf,
2020-08-15,Donjah,4,GER,Preis von Europa,12,Turf,
2020-08-22,Verry Elleegent,5,AUS,Winx Stakes,7,Turf,
2020-08-23,Campanelle,2,FR,Prix Morny,6,Turf,
2020-08-29,Sentbydestiny,3,SAF,Premiers Champion Stakes,8,Turf,
2020-09-11,La Reliquia,6,ARG,Grand Premio Estrellas Sprint,5,Turf,
2020-09-12,Magical,5,IRE,Irish Champion Stakes,10,Turf,
2020-09-13,Search for a Song,4,IRE,Irish Stakest Leger,14,Turf,
2020-09-13,Glass Slippers,4,IRE,Flying Five Stakes,5,Turf,
2020-09-19,Starship Jubilee,7,CAN,Woodbine Mile,8,Turf,
2020-09-25,Pippie,5,AUS,Moir Stakes,5,Turf,
2020-09-26,Gata Y Flor,4,BRZ,Grande Premio Major Suchow,5,Turf,
2020-10-03,Swiss Skydiver,3,USA,Preakness Stakes,9.5,Dirt,
2020-10-03,Princess Zoe,5,FR,Prix du Cadran,20,Turf,
2020-10-03,Probabeel,4,AUS,Epsom Handicap,8,Turf,
2020-10-03,Verry Elleegent,5,AUS,Turnbull Stakes,10,Turf,
2020-10-03,Melody Belle,6,NZ,Windsor Park Plate,8,Turf,
2020-10-04,Gran Alegria,4,JPN,Sprinters Stakes,6,Turf,
2020-10-04,One Master,6,FR,Prix de la Foret,7,Turf,
2020-10-10,Montefilia,3,AUS,Spring Champion Stakes,10,Turf,
2020-10-10,Arcadia Queen,5,AUS,Neds Stakes,10,Turf,
2020-10-17,Verry Elleegent,5,AUS,Caulfied Cup,12,Turf,
2020-10-17,Melody Belle,6,NZ,Livamol Classic,10,Turf,
2020-13-31,Almond Eye,5,JPN,Tenno Sho Autumn,10,Turf,
2020-11-07,Glass Slippers,4,US,Breeders' Cup Turf Sprint,5.5,Turf,
2020-11-07,Tarnawa,4,US,Breeders' Cup Turf,12,Turf,
2020-11-07,Arcadia Queen,5,AUS,Mackinnon Stakes,10,Turf,
2020-11-08,Sunny Queen,3,GER,Grosser Preis von Bayern,12,Turf,
2020-11-21,Inspirational Girl,5,AUS,Kirin-Rainway Stakes,8,Turf,
2020-11-22,Gran Alegria,4,JPN,Mile Championship,8,Turf,
2020-11-28,Summer Pudding,4,SAF,Summer Cup,10,Turf,
2020-11-29,Almond Eye,5,JPN,Japan Cup,12,Turf,
2020-12-26,Concert Hall,6,NZ,Zabeel Classic,10,Turf,
2020-12-27,Chrono Genesis,4,JPN,Arima Kinen,12.5,Turf,
2021-01-01,Avantage,4,NZ,Railway Stakes,6,Turf,
2021-01-16,Avantage,4,NZ,Telegraph Stakes,6,Turf,
2021-01-30,Melody Belle,6,NZ,Thorndon Mile,8,Turf,
2021-01-30,Run Fox Run,5,SAF,Flying Cape Championship,5,Turf,
2021-02-13,Avantage,5,NZ,BCD Group Sprint,7,Turf,
2021-02-20,Probabeel,4,AUS,Melbourne Futurity,7,Turf,
2021-02-20,Celebrity Queen,4,AUS,Oakleigh Plate,5.5,Turf,
2021-02-27,Avantage,5,NZ,WFA Classic,8,Turf,
2021-02-27,Verry Elleegent,5,AUS,Chipping Norton Stakes,8,Turf,
2021-03-06,Savatiano,6,AUS,Canterbury Stakes,6.5,Turf,
2021-03-13,Melody Belle,6,NZ,Bonecrusher Stakes,10,Turf,
2021-03-27,Verry Elleegent,5,AUS,Ranvet Stakes,10,Turf,
2021-04-04,Lei Papale,4,JPN,Osaka Hai,10,Turf,
2021-04-25,Loves Only You,5,HK,QEII Cup,10,Turf,
2021-05-15,Itaperuna,4,BRZ,Grande Premio A.B.C.P.C.C.,5,Turf,
2021-06-12,Tofane,5,AUS,Stradbroke Handicap,7,Turf,
2021-06-16,Love,4,ENG,Prince of Wales Stakes,10,Turf,
2021-06-18,Campanelle,3,ENG,Commonwealth Cup,6,Turf,
2021-06-26,Queen Liz,6,ARG,Gran Premio Estrellas Sprint,5,Dirt,
2021-06-27,Chrono Genesis,5,JPN,Takarazuka Kinen,11,Turf,
2021-07-28,Alcohol Free,3,ENG,Sussex Stakes,8,Turf,
2021-08-08,Alpinista,4,GER,Grosser Preis von Berlin,12,Turf,
2021-08-14,In Essence,4,BRZ,Grande Premio Major Suchow,5,Turf,
2021-08-14,Got Stormy,6,US,Forestardave,8,Turf,
2021-08-20,Winter Power,3,ENG,Nunthorpe Stakes,5,Turf,
2021-09-12,Romantic Proposal,5,IRE,Flying Five Stakes,5,Turf,
2021-09-18,Verry Elleegent,6,AUS,George Main Stakes,8,Turf,
2021-09-18,Sierra Sue,5,AUS,Sir Rupert Clarke Stakes,7,Turf,
2021-09-26,Alpinista,4,GER,Preis von Europa,12,Turf,
2021-10-02,Montefilia,4,AUS,Metropolitan,12,Turf,
2021-10-03,Y Nada Mas,3,CHI,Club Hipico Santiago,10,Turf,
2021-10-09,Probabeel,5,AUS,Might and Power Stakes,10,Turf,
2021-10-16,Senegalesca,3,ARG,Gran Premio Suipacha,5,Turf,
2021-10-16,Savy Yong Blonk,6,NZ,Livamol Classic,10,Turf,
2021-10-31,Y Nada Mas,3,CHI,Premio El Ensayo Mega,12,Turf,
2021-11-02,Verry Elleegent,6,AUS,Melbourne Cup,16,Turf,
2021-11-07,Alpinista,4,GER,Grosser Preis von Bayern,12,Turf,
2021-11-21,Gran Alegria,4,JPN,Mile Championship,8,Turf,
2021-11-27,Graceful Girl,4,AUS,Winterbottom Stakes,6,Turf,
2021-12-11,Too Elicit,5,NZ,Captain Cook Stakes,8,Turf,
2021-12-12,Loves Only You,4,HK,Hong Kong Cup,10,Turf,
2022-01-01,Entriviere,5,NZ,Railway Stakes,6,Turf,
2022-01-15,Levante,5,NZ,Telegraph Stakes,6,Turf,
2022-02-06,Nenufar Azul,3,CHI,El Derby,12,Turf,
2022-02-12,Tofane,6,AUS,Orr Stakes,7,Turf,
2022-02-12,Levante,5,NZ,BCD Group Sprint,7,Turf,
2022-02-12,Coventina Bay,6,NZ,Herbie Dyke Stakes,10,Turf,
2022-02-26,Verry Elleegent,6,AUS,Chipping Norton Stakes,8,Turf,
2022-02-26,Marabi,5,AUS,Oakleigh Plate,5.5,Turf,
2022-02-26,Sierra Sue,5,AUS,Futurity Stakes,7,Turf,
2022-03-05,Forbidden Love,4,AUS,Canterbury Stakes,6.5,Turf,
2022-03-12,Duais,4,AUS,Australian Cup,10,Turf,
2022-03-12,Roch N' Horse,5,AUS,Newmarket Handicap,6,Turf,
2022-03-13,Coventina Bay,6,NZ,New Zealand Stakes,10,Turf,
2022-03-13,Lickety Split,2,NZ,Sistema Stakes,6,Turf,
2022-03-19,Fireburn,2,AUS,Golden Slipper Stakes,6,Turf,
2022-03-19,Forbidden Love,4,AUS,George Ryder Stakes,7.5,Turf,
2022-03-19,Montefilia,4,AUS,Ranvet Stakes,10,Turf,
2022-03-19,Imperatiz,3,NZ,Levin Classic,8,Turf,
2022-03-25,September Run,4,AUS,William Reid Stakes,6,Turf,
2022-03-28,Duais,4,AUS,Tancred Stakes,12,Turf,
2022-04-02,Maven Belle,2,NZ,Manawatu Sires Produce Stakes,6,Turf,
2022-04-02,Fireburn,2,AUS,Inglis Sires',7,Turf,
2022-04-16,She's Extreme,2,AUS,Champagne Stakes,8,Turf,
2022-05-14,Orianna Do Iguassu,3,BRZ,Grande Premio A.B.C.P.C.C.,7,Turf,
2022-05-29,Dreamloper,5,FR,Prix d'Ispahan,9,Turf,
2022-06-05,Songline,4,JPN,Yasuda Kinen,8,Turf,
2022-06-11,Sheeza Belter,2,AUS,J.J. Atkins,8,Turf,
2022-06-25,In Essence,4,BRZ,Grande Premio Major Suchow,5,Turf,
2022-07-02,Sparkling Water,4,SAF,Durban July Stakes,11,Turf,
2022-07-03,Alpinista,5,FR,Grand Prix de Saint-Cloud,12,Turf,
2022-07-09,Alcohol Free,4,ENG,July Cup,6,Turf,
2022-07-10,Tenebrism,3,FR,Prix Jean Prat,7,Turf,
