Date,Horse,Age,Country,Race Name,Distance Furlongs,Surface,Notes
2011-10-15,Southern Speed,4,AUS,Caulfield Cup,12,Turf,
2011-10-16,Life for Sale,3,ARG,Gran Premio Provincia De Buenos Aires,11,Dirt,
2011-10-16,Sarah Lynx,4,CAN,Canadian International,12,Turf,
2011-10-22,Pinker Pinker,4,AUS,Cox Plate,10,Turf,
2011-10-23,Be Fabulous,4,FR,Prix Royal-Oak,15.5,Turf,
2011-11-05,Black Caviar,6,AUS,Patinack Farm Classic,6,Turf,
2011-11-19,Ortensia,6,AUS,Burswood-Winterbottom,6,Turf,
2011-11-26,Dancewiththedevil,5,SAF,Summer Cup,10,Turf,
2011-11-27,Buena Vista,5,JPN,Japan Cup,12,Turf,
2011-12-17,Amani,3,CHI,Premio St Leger Cristal,11,Dirt,
2011-12-17,Dona Ley,3,ARG,Gran Premio Félix de Alzaga Unzué,5,Turf,
2011-12-26,Shez Sinsational,4,NZ,Zabeel Classic,10,Turf,
2012-01-15,In The Spotlight,4,IND,Calcutta Derby,12,Turf,
2012-01-21,Val De Ra,5,SAF,Cape Flying Championship,5,Turf,
2012-01-21,Guiseppina,5,NZ,Telegraph Handicap,6,Turf,
2012-01-28,Southern Bay,4,IND,Golconda Derby,12,Turf,
2012-01-28,Igugu,4,SAF,J & B Met,10,Turf,
2012-01-28,Say No More,4,NZ,Thorndon Mile,8,Turf,
2012-02-05,In The Spotlight,4,IND,Indian Derby,12,Turf,
2012-02-11,Black Caviar,5,AUS,Orr Stakes,7,Turf,
2012-02-11,Shez Sinsational,4,NZ,International Stakes,10,Turf,
2012-02-18,Black Caviar,5,AUS,Lightning Stakes,5,Turf,
2012-02-25,Samaready,2,AUS,Blue Diamond Stakes,6,Turf,
2012-03-03,Mosheen,3,AUS,Australian Guineas,8,Turf,
2012-03-03,Silent Achiever,3,NZ,New Zealand Derby,12,Turf,
2012-03-04,In The Spotlight,4,IND,Indian Turf Invitation Cup,12,Turf,
2012-03-07,Shez Sinsational,4,NZ,Auckland Cup,16,Turf,
2012-03-10,Scarlett Lady,4,NZ,New Zealand Stakes,10,Turf,
2012-03-10,Rollout the Carpet,2,NZ,Diamond Stakes,6,Turf,
2012-03-17,Mosheen,3,AUS,Randwick Guineas,8,Turf,
2012-03-25,Curren Chan,5,JPN,Takamatsunomiya Kinen,6,Turf,
2012-03-31,Dancewiththedevil,5,SAF,Horse Chestnut Stakes,8,Turf,
2012-03-31,Ortensia,6,UAE,Al Quoz Sprint,5,Turf,
2012-04-21,More Joyous,5,AUS,Doncaster Mile,8,Turf,
2012-04-28,More Joyous,5,AUS,Queen Elizabeth Stakes,10,Turf,
2012-04-28,Atlantic Jewel,3,AUS,All-Aged Stakes,7,Turf,
2012-04-28,Europa Point,4,SAF,President's Champions Challenge,10,Turf,
2012-05-12,Black Caviar,5,AUS,Goodwood S,6,Turf,
