,ages,metric,ncond,age,saddle,decimalPrice,isFav,RPR,TR,OR,father,weight,res_win
1,4yo+,3218.0,10,6.0,7.0,0.4444444444444444,1,96.0,89.0,110.0,Getaway,65,0.0
26,5yo+,3218.0,5,8.0,1.0,0.26666666666666666,1,115.0,33.0,109.0,Beneficial,73,0.0
27,5yo+,3218.0,5,9.0,2.0,0.125,0,108.0,29.0,103.0,Beneficial,68,0.0
43,4yo+,4827.0,6,7.0,13.0,0.07692307692307693,0,95.0,39.0,83.0,Kalanisi,63,1.0
44,4yo+,4827.0,6,8.0,2.0,0.07692307692307693,0,119.0,64.0,108.0,Ask,71,0.0
45,4yo+,4827.0,6,7.0,12.0,0.1111111111111111,0,94.0,37.0,88.0,Flemensfirth,62,0.0
46,4yo+,4827.0,6,9.0,9.0,0.06666666666666668,0,97.0,42.0,94.0,Milan,65,0.0
47,4yo+,4827.0,6,6.0,1.0,0.09090909090909093,0,106.0,52.0,109.0,Martaline,75,0.0
49,4yo+,4827.0,6,6.0,10.0,0.1111111111111111,0,76.0,23.0,92.0,Court Cave,66,0.0
50,4yo+,4827.0,6,9.0,8.0,0.18181818181818185,1,72.0,20.0,94.0,Kayf Tara,68,0.0
58,4yo+,1005.0,0,5.0,4.0,0.047619047619047616,0,91.0,69.0,83.0,Showcasing,58,1.0
60,4yo+,1005.0,0,8.0,2.0,0.3478260869565217,1,86.0,63.0,85.0,Starspangledbanner,59,0.0
61,4yo+,1005.0,0,9.0,1.0,0.18181818181818185,0,83.0,60.0,86.0,Exceed And Excel,60,0.0
62,4yo+,1005.0,0,9.0,5.0,0.05882352941176471,0,76.0,52.0,83.0,Invincible Spirit,58,0.0
63,4yo+,1005.0,0,4.0,7.0,0.2222222222222222,0,68.0,44.0,77.0,Swiss Spirit,56,0.0
64,4yo+,1005.0,0,6.0,3.0,0.125,0,74.0,50.0,84.0,Compton Place,59,0.0
65,5yo+,4122.5,10,9.0,1.0,0.09090909090909093,0,150.0,56.0,140.0,Dylan Thomas,73,1.0
66,5yo+,4122.5,10,7.0,12.0,0.14285714285714285,0,136.0,41.0,125.0,Dubai Destination,68,0.0
67,5yo+,4122.5,10,8.0,11.0,0.10526315789473684,0,135.0,40.0,127.0,Fair Mix,69,0.0
68,5yo+,4122.5,10,6.0,13.0,0.09090909090909093,0,115.0,17.0,124.0,Gold Well,68,0.0
69,5yo+,4122.5,10,9.0,4.0,0.029411764705882363,0,125.0,29.0,137.0,Westerner,70,0.0
87,5yo+,5832.0,10,9.0,4.0,0.2222222222222222,0,113.0,39.0,102.0,September Storm,74,1.0
89,5yo+,5832.0,10,8.0,5.0,0.15384615384615385,0,96.0,24.0,100.0,Beneficial,73,0.0
117,5yo+,5028.0,10,7.0,1.0,0.6363636363636364,1,144.0,77.0,131.0,Mahler,69,1.0
118,5yo+,5028.0,10,8.0,2.0,0.42105263157894735,0,131.0,64.0,132.0,Kalanisi,69,0.0
119,4yo+,1407.0,0,5.0,2.0,0.3333333333333333,0,103.0,74.0,93.0,Mayson,58,1.0
121,4yo+,1407.0,0,6.0,5.0,0.09090909090909093,0,79.0,49.0,79.0,Requinto,53,0.0
122,4yo+,1407.0,0,8.0,4.0,0.07692307692307693,0,60.0,28.0,82.0,Aqlaam,53,0.0
123,4yo+,1407.0,0,5.0,3.0,0.16666666666666666,0,56.0,23.0,84.0,Camacho,56,0.0
124,4yo+,3218.0,6,6.0,5.0,0.18181818181818185,0,124.0,96.0,105.0,Oscar,67,1.0
125,4yo+,3218.0,6,5.0,6.0,0.125,0,102.0,68.0,102.0,Iffraaj,64,0.0
126,4yo+,3218.0,6,6.0,8.0,0.2,1,97.0,63.0,96.0,Kalanisi,62,0.0
127,4yo+,3218.0,6,15.0,4.0,0.05882352941176471,0,83.0,35.0,107.0,Beneficial,67,0.0
132,5yo+,3821.0,10,9.0,1.0,0.18181818181818185,0,134.0,119.0,118.0,Robin Des Pres,73,1.0
133,5yo+,3821.0,10,10.0,4.0,0.1111111111111111,0,127.0,113.0,115.0,Mahler,71,0.0
135,5yo+,3821.0,10,6.0,5.0,0.14285714285714285,0,115.0,98.0,107.0,Sinndar,70,0.0
136,5yo+,3821.0,10,7.0,6.0,0.029411764705882363,0,98.0,81.0,105.0,Arcadio,69,0.0
168,4yo+,3419.0,5,4.0,11.0,0.25,0,140.0,111.0,117.0,Zoffany,65,1.0
169,4yo+,3419.0,5,7.0,1.0,0.6000000000000001,1,129.0,85.0,133.0,Gold Well,73,0.0
171,4yo+,3419.0,5,5.0,2.0,0.2222222222222222,0,108.0,71.0,122.0,Jukebox Jury,73,0.0
180,5yo+,3821.0,5,8.0,3.0,0.2857142857142857,1,115.0,58.0,107.0,Schiaparelli,72,1.0
183,5yo+,3821.0,5,9.0,5.0,0.18181818181818185,0,96.0,37.0,99.0,High Chaparral,68,0.0
186,5yo+,4122.5,5,7.0,5.0,0.2,0,151.0,126.0,150.0,Midnight Legend,69,1.0
187,5yo+,4122.5,5,6.0,6.0,0.047619047619047616,0,148.0,124.0,130.0,Brian Boru,69,0.0
188,5yo+,4122.5,5,7.0,2.0,0.125,0,148.0,123.0,146.0,Balko,69,0.0
190,5yo+,4122.5,5,5.0,4.0,0.047619047619047616,0,128.0,103.0,143.0,Style Vendome,69,0.0
200,4yo+,3720.5,5,6.0,10.0,0.06666666666666668,0,83.0,15.0,117.0,Getaway,71,0.0
206,5yo+,3821.0,5,7.0,4.0,0.14285714285714285,0,140.0,90.0,128.0,Getaway,70,1.0
207,5yo+,3821.0,5,7.0,5.0,0.3333333333333333,1,132.0,84.0,125.0,Voix Du Nord,68,0.0
208,5yo+,3821.0,5,8.0,1.0,0.16666666666666666,0,134.0,86.0,136.0,Jeremy,74,0.0
210,5yo+,3821.0,5,8.0,3.0,0.25,0,93.0,41.0,129.0,King's Theatre,71,0.0
211,4yo+,3116.5,10,8.0,4.0,0.16666666666666666,0,136.0,130.0,129.0,Authorized,69,1.0
212,4yo+,3116.5,10,7.0,3.0,0.1111111111111111,0,144.0,139.0,139.0,Sinndar,73,0.0
213,4yo+,3116.5,10,5.0,9.0,0.4,1,125.0,118.0,121.0,Canford Cliffs,65,0.0
214,4yo+,3116.5,10,7.0,5.0,0.047619047619047616,0,126.0,113.0,129.0,Beneficial,69,0.0
216,4yo+,3116.5,10,10.0,7.0,0.09090909090909093,0,102.0,87.0,125.0,Dylan Thomas,67,0.0
217,4yo+,3116.5,10,5.0,11.0,0.024390243902439025,0,78.0,56.0,116.0,Sir Percy,61,0.0
218,4yo+,3116.5,10,7.0,10.0,0.05882352941176471,0,55.0,11.0,119.0,Rip Van Winkle,63,0.0
222,4yo+,4725.5,10,9.0,5.0,0.18181818181818185,0,113.0,32.0,107.0,Sea The Stars,74,1.0
223,4yo+,4725.5,10,9.0,7.0,0.15384615384615385,0,100.0,19.0,95.0,Robin Des Pres,67,0.0
224,4yo+,4725.5,10,9.0,6.0,0.06666666666666668,0,106.0,23.0,102.0,Yeats,70,0.0
225,4yo+,4725.5,10,7.0,2.0,0.3076923076923077,1,109.0,27.0,109.0,Milan,75,0.0
227,4yo+,4725.5,10,7.0,1.0,0.1111111111111111,0,93.0,11.0,111.0,Getaway,73,0.0
232,4yo+,3218.0,10,5.0,4.0,0.3076923076923077,0,109.0,91.0,110.0,Malinas,70,0.0
240,4yo,3116.5,10,4.0,1.0,0.3636363636363637,1,108.0,102.0,116.0,Dansili,71,0.0
247,4yo+,4827.0,5,6.0,8.0,0.25,1,140.0,102.0,134.0,Sageburg,63,1.0
248,4yo+,4827.0,5,6.0,10.0,0.13333333333333333,0,136.0,101.0,134.0,Scorpion,62,0.0
249,4yo+,4827.0,5,9.0,4.0,0.1111111111111111,0,141.0,107.0,143.0,Oscar,67,0.0
250,4yo+,4827.0,5,7.0,3.0,0.1111111111111111,0,139.0,104.0,144.0,Papal Bull,68,0.0
251,4yo+,4827.0,5,9.0,13.0,0.038461538461538464,0,127.0,93.0,134.0,Kayf Tara,60,0.0
252,4yo+,4827.0,5,6.0,9.0,0.06666666666666668,0,128.0,93.0,134.0,No Risk At All,60,0.0
253,4yo+,4827.0,5,7.0,6.0,0.09090909090909093,0,135.0,100.0,141.0,Yeats,64,0.0
254,4yo+,4827.0,5,10.0,2.0,0.1,0,147.0,113.0,155.0,Shantou,73,0.0
255,4yo+,4827.0,5,10.0,12.0,0.024390243902439025,0,125.0,91.0,134.0,Shantou,63,0.0
259,4yo+,1005.0,0,7.0,1.0,0.3809523809523809,1,85.0,77.0,72.0,Elusive City,60,1.0
260,4yo+,1005.0,0,6.0,3.0,0.06666666666666668,0,68.0,58.0,69.0,Exceed And Excel,58,0.0
261,4yo+,1005.0,0,5.0,4.0,0.14285714285714285,0,65.0,55.0,67.0,Mayson,58,0.0
262,4yo+,1005.0,0,8.0,7.0,0.09090909090909093,0,53.0,43.0,58.0,Leroidesanimaux,53,0.0
263,4yo+,1005.0,0,4.0,5.0,0.047619047619047616,0,57.0,46.0,62.0,Dandy Man,55,0.0
264,4yo+,1005.0,0,6.0,6.0,0.06666666666666668,0,40.0,27.0,61.0,Aqlaam,53,0.0
265,4yo+,1005.0,0,4.0,2.0,0.3076923076923077,0,50.0,37.0,72.0,Iffraaj,60,0.0
266,4yo+,1609.0,0,4.0,2.0,0.09090909090909093,0,68.0,45.0,60.0,Epaulette,60,1.0
267,4yo+,1609.0,0,6.0,5.0,0.2222222222222222,0,61.0,37.0,58.0,Rip Van Winkle,56,0.0
268,4yo+,1609.0,0,6.0,3.0,0.25,1,56.0,29.0,60.0,Tagula,57,0.0
271,4yo+,1609.0,0,6.0,4.0,0.16666666666666666,0,44.0,14.0,60.0,Sir Prancealot,60,0.0
292,5yo+,5329.5,5,12.0,9.0,0.15384615384615385,0,135.0,117.0,124.0,Presenting,63,1.0
293,5yo+,5329.5,5,11.0,1.0,0.2,0,148.0,133.0,143.0,King's Theatre,75,0.0
295,5yo+,5329.5,5,10.0,2.0,0.05882352941176471,0,147.0,129.0,143.0,Kayf Tara,72,0.0
296,5yo+,5329.5,5,8.0,6.0,0.1,0,136.0,120.0,135.0,Brian Boru,71,0.0
297,5yo+,5329.5,5,9.0,5.0,0.1111111111111111,0,121.0,109.0,135.0,Stowaway,69,0.0
298,5yo+,5329.5,5,10.0,3.0,0.2222222222222222,1,121.0,109.0,140.0,Milan,73,0.0
336,4yo+,4022.0,10,7.0,4.0,0.42105263157894735,1,105.0,72.0,110.0,Champs Elysees,62,0.0
348,4yo+,4122.5,5,5.0,5.0,0.1176470588235294,0,141.0,121.0,132.0,Saint Des Saints,69,1.0
349,4yo+,4122.5,5,6.0,3.0,0.25,0,142.0,120.0,131.0,Vinnie Roe,69,0.0
350,4yo+,4122.5,5,6.0,6.0,0.26666666666666666,0,135.0,113.0,134.0,Saint Des Saints,69,0.0
351,4yo+,4122.5,5,6.0,4.0,0.1,0,133.0,111.0,130.0,Stowaway,69,0.0
352,4yo+,4122.5,5,6.0,1.0,0.3333333333333333,1,138.0,115.0,140.0,Trans Island,72,0.0
369,4yo+,3620.0,6,6.0,4.0,0.09090909090909093,0,120.0,69.0,112.0,High Chaparral,69,0.0
374,4yo+,3218.0,5,7.0,5.0,0.16666666666666666,0,104.0,84.0,94.0,Gold Well,68,0.0
375,4yo+,3218.0,5,6.0,11.0,0.07692307692307693,0,88.0,68.0,81.0,Holy Roman Emperor,63,0.0
376,4yo+,3218.0,5,5.0,6.0,0.125,0,96.0,75.0,93.0,Choisir,70,0.0
377,4yo+,3218.0,5,4.0,13.0,0.13333333333333333,0,78.0,56.0,91.0,So You Think,63,0.0
378,4yo+,3218.0,5,7.0,12.0,0.09090909090909093,0,81.0,59.0,80.0,Presenting,65,0.0
379,4yo+,3218.0,5,5.0,8.0,0.1111111111111111,0,90.0,68.0,91.0,Westerner,69,0.0
380,4yo+,3218.0,5,8.0,10.0,0.1111111111111111,0,83.0,60.0,84.0,Court Cave,63,0.0
381,4yo+,3218.0,5,5.0,3.0,0.038461538461538464,0,93.0,70.0,98.0,Getaway,72,0.0
382,4yo+,3218.0,5,6.0,2.0,0.05882352941176471,0,89.0,62.0,100.0,Zoffany,71,0.0
383,4yo+,3218.0,5,8.0,4.0,0.08333333333333333,0,72.0,37.0,94.0,Well Chosen,71,0.0
400,3-4yo,1005.0,0,3.0,4.0,0.9230769230769232,1,51.0,41.0,79.0,Dragon Pulse,55,1.0
401,3-4yo,1005.0,0,4.0,1.0,0.05882352941176471,0,51.0,43.0,42.0,Coach House,57,0.0
415,5yo+,5028.0,6,7.0,3.0,0.125,0,127.0,61.0,119.0,Doyen,69,1.0
417,5yo+,5028.0,6,8.0,5.0,0.16666666666666666,1,114.0,49.0,115.0,Voix Du Nord,70,0.0
419,5yo+,5028.0,6,7.0,4.0,0.15384615384615385,0,99.0,35.0,117.0,Presenting,71,0.0
420,5yo+,5028.0,6,6.0,7.0,0.15384615384615385,0,85.0,23.0,114.0,Milan,67,0.0
421,5yo+,5028.0,6,7.0,11.0,0.08333333333333333,0,72.0,11.0,102.0,Oscar,64,0.0
422,5yo+,5028.0,6,7.0,8.0,0.06666666666666668,0,74.0,13.0,109.0,Winged Love,66,0.0
426,4yo+,4022.0,10,6.0,10.0,0.15384615384615385,0,95.0,27.0,92.0,Scorpion,68,1.0
427,4yo+,4022.0,10,6.0,1.0,0.25,1,110.0,41.0,107.0,Milan,75,0.0
428,4yo+,4022.0,10,8.0,11.0,0.125,0,91.0,23.0,90.0,Well Chosen,67,0.0
429,4yo+,4022.0,10,5.0,8.0,0.07692307692307693,0,93.0,26.0,93.0,Shirocco,68,0.0
430,4yo+,4022.0,10,5.0,9.0,0.09090909090909093,0,92.0,25.0,92.0,Dubawi,66,0.0
431,4yo+,4022.0,10,5.0,6.0,0.14285714285714285,0,102.0,34.0,102.0,Poet's Voice,69,0.0
432,4yo+,4022.0,10,5.0,5.0,0.05882352941176471,0,102.0,35.0,104.0,Sir Percy,71,0.0
433,4yo+,4022.0,10,8.0,3.0,0.08333333333333333,0,105.0,37.0,106.0,Lord Shanakill,74,0.0
434,4yo+,4022.0,10,5.0,12.0,0.07692307692307693,0,85.0,17.0,89.0,Arcano,63,0.0
436,4yo+,4022.0,10,6.0,7.0,0.029411764705882363,0,75.0,4.0,102.0,Getaway,73,0.0
463,4yo+,4022.0,10,8.0,6.0,0.03448275862068965,0,124.0,87.0,120.0,Rip Van Winkle,73,0.0
464,4yo+,4022.0,10,5.0,8.0,0.047619047619047616,0,113.0,77.0,112.0,Pour Moi,69,0.0
467,4yo+,4022.0,10,5.0,9.0,0.14285714285714285,0,109.0,73.0,110.0,Midnight Legend,68,0.0
468,4yo+,4022.0,10,11.0,7.0,0.13333333333333333,0,116.0,79.0,116.0,Westerner,69,0.0
469,4yo+,4022.0,10,6.0,4.0,0.26666666666666666,1,119.0,80.0,122.0,Flemensfirth,73,0.0
470,4yo+,4022.0,10,10.0,2.0,0.029411764705882363,0,108.0,71.0,125.0,Raven's Pass,72,0.0
471,4yo+,4022.0,10,8.0,1.0,0.13333333333333333,0,85.0,46.0,125.0,Poliglote,75,0.0
472,5yo+,4827.0,5,7.0,5.0,0.2222222222222222,1,143.0,58.0,127.0,Getaway,73,1.0
473,5yo+,4827.0,5,9.0,1.0,0.09090909090909093,0,143.0,58.0,132.0,Brian Boru,73,0.0
474,5yo+,4827.0,5,11.0,10.0,0.18181818181818185,0,110.0,26.0,110.0,Westerner,66,0.0
475,5yo+,4827.0,5,8.0,6.0,0.07692307692307693,0,124.0,41.0,125.0,Getaway,73,0.0
496,4yo+,1609.0,0,4.0,7.0,0.25,0,67.0,28.0,61.0,Red Jazz,54,1.0
497,4yo+,1609.0,0,5.0,2.0,0.2,0,77.0,38.0,73.0,Dark Angel,60,0.0
499,4yo+,1609.0,0,7.0,3.0,0.15384615384615385,0,74.0,33.0,72.0,Kyllachy,59,0.0
500,4yo+,1609.0,0,4.0,4.0,0.26666666666666666,1,67.0,26.0,66.0,Charm Spirit,57,0.0
501,4yo+,1609.0,0,6.0,6.0,0.1176470588235294,0,64.0,22.0,64.0,Shamardal,56,0.0
515,5yo+,4122.5,5,7.0,2.0,0.1111111111111111,0,167.0,140.0,157.0,Saint Des Saints,73,0.0
517,5yo+,4122.5,5,7.0,9.0,0.14285714285714285,0,152.0,125.0,147.0,Elusive Pimpernel,68,0.0
518,5yo+,4122.5,5,8.0,5.0,0.09090909090909093,0,153.0,127.0,153.0,Court Cave,71,0.0
519,5yo+,4122.5,5,8.0,3.0,0.1176470588235294,0,150.0,123.0,155.0,Saddler Maker,72,0.0
520,5yo+,4122.5,5,6.0,4.0,0.08333333333333333,0,141.0,111.0,154.0,Saint Des Saints,72,0.0
521,5yo+,4122.5,5,7.0,1.0,0.25,1,138.0,106.0,161.0,Kalanisi,75,0.0
522,5yo+,4122.5,5,10.0,7.0,0.1176470588235294,0,93.0,63.0,149.0,Mahler,69,0.0
523,5yo+,4122.5,5,7.0,11.0,0.09090909090909093,0,78.0,44.0,138.0,Martaline,64,0.0
546,4yo+,2212.0,0,4.0,4.0,0.3478260869565217,1,82.0,74.0,69.0,Rajsaman,59,1.0
547,4yo+,2212.0,0,4.0,7.0,0.3333333333333333,0,71.0,62.0,62.0,Kingman,56,0.0
548,4yo+,2212.0,0,7.0,1.0,0.15384615384615385,0,63.0,51.0,71.0,Rip Van Winkle,61,0.0
549,4yo+,2212.0,0,4.0,2.0,0.038461538461538464,0,64.0,50.0,71.0,Gregorian,60,0.0
550,4yo+,2212.0,0,4.0,5.0,0.16666666666666666,0,58.0,44.0,67.0,Slade Power,58,0.0
567,5yo+,4827.0,10,8.0,1.0,0.14285714285714285,0,130.0,41.0,117.0,Milan,76,1.0
568,5yo+,4827.0,10,11.0,4.0,0.2,0,111.0,25.0,105.0,Oscar,68,0.0
569,5yo+,4827.0,10,6.0,3.0,0.14285714285714285,0,104.0,17.0,108.0,Kapgarde,72,0.0
570,5yo+,4827.0,10,10.0,2.0,0.2,0,107.0,19.0,115.0,Beneficial,73,0.0
586,4yo+,5128.5,10,7.0,2.0,0.26666666666666666,0,100.0,40.0,94.0,Sir Percy,75,1.0
588,4yo+,5128.5,10,9.0,4.0,0.2857142857142857,1,95.0,35.0,90.0,Westerner,73,0.0
589,4yo+,5128.5,10,9.0,3.0,0.15384615384615385,0,84.0,25.0,93.0,Beneficial,73,0.0
590,4yo+,5128.5,10,9.0,5.0,0.1,0,80.0,20.0,88.0,Teofilo,71,0.0
591,4yo+,5128.5,10,6.0,1.0,0.09090909090909093,0,76.0,17.0,94.0,Nathaniel,73,0.0
592,4yo+,5128.5,10,7.0,6.0,0.09090909090909093,0,62.0,4.0,84.0,Robin Des Champs,68,0.0
607,5yo+,4122.5,5,8.0,6.0,0.2222222222222222,0,151.0,113.0,151.0,Dubai Destination,69,0.0
608,5yo+,4122.5,5,10.0,1.0,0.1176470588235294,0,156.0,116.0,156.0,King's Theatre,71,0.0
609,5yo+,4122.5,5,7.0,4.0,0.3076923076923077,1,147.0,108.0,158.0,Saddler Maker,69,0.0
610,5yo+,4122.5,5,5.0,2.0,0.07692307692307693,0,149.0,108.0,146.0,Muhtathir,71,0.0
611,5yo+,4122.5,5,6.0,3.0,0.2857142857142857,0,139.0,95.0,147.0,Gold Well,69,0.0
612,4yo+,4827.0,10,8.0,2.0,0.125,0,139.0,111.0,134.0,Scorpion,73,1.0
613,4yo+,4827.0,10,6.0,6.0,0.16666666666666666,0,115.0,90.0,114.0,Ask,66,0.0
614,4yo+,4827.0,10,7.0,1.0,0.2,0,144.0,117.0,142.0,Milan,78,0.0
615,4yo+,4827.0,10,7.0,4.0,0.3333333333333333,1,109.0,84.0,128.0,Malinas,71,0.0
616,4yo+,4827.0,10,10.0,5.0,0.2,0,97.0,73.0,118.0,Sakhee's Secret,68,0.0
624,4yo+,3116.5,10,6.0,7.0,0.07692307692307693,0,96.0,77.0,92.0,Fair Mix,69,1.0
625,4yo+,3116.5,10,8.0,5.0,0.125,0,101.0,83.0,100.0,Arcano,73,0.0
628,4yo+,3116.5,10,11.0,8.0,0.2,0,80.0,60.0,84.0,Dark Angel,66,0.0
630,4yo+,3116.5,10,5.0,9.0,0.029411764705882363,0,71.0,47.0,80.0,Dream Ahead,63,0.0
631,4yo+,3116.5,10,5.0,3.0,0.024390243902439025,0,91.0,68.0,102.0,Lawman,71,0.0
632,4yo+,3116.5,10,6.0,4.0,0.09090909090909093,0,81.0,54.0,101.0,Archipenko,73,0.0
636,4yo+,3116.5,10,6.0,4.0,0.2,0,105.0,83.0,101.0,Holy Roman Emperor,69,0.0
637,4yo+,3116.5,10,7.0,3.0,0.25,1,102.0,81.0,102.0,Gold Well,74,0.0
638,4yo+,3116.5,10,10.0,2.0,0.047619047619047616,0,100.0,76.0,102.0,Craigsteel,73,0.0
639,4yo+,3116.5,10,6.0,9.0,0.23076923076923075,0,69.0,45.0,78.0,Sholokhov,62,0.0
640,4yo+,3116.5,10,6.0,7.0,0.14285714285714285,0,51.0,15.0,85.0,Holy Roman Emperor,66,0.0
655,3yo,1407.0,7,3.0,6.0,0.26666666666666666,0,97.0,90.0,103.0,Dark Angel,57,1.0
658,3yo,1407.0,7,3.0,3.0,0.1111111111111111,0,79.0,70.0,85.0,Night Of Thunder,57,0.0
659,3yo,1407.0,7,3.0,14.0,0.0196078431372549,0,53.0,41.0,84.0,Night Of Thunder,57,0.0
661,3yo,1407.0,7,3.0,10.0,0.1111111111111111,0,30.0,15.0,90.0,No Nay Never,57,0.0
665,3yo,1407.0,7,3.0,9.0,0.024390243902439025,0,20.0,3.0,78.0,Havana Gold,57,0.0
670,4yo+,1609.0,0,4.0,3.0,0.26666666666666666,1,77.0,64.0,69.0,Toronado,60,1.0
671,4yo+,1609.0,0,9.0,8.0,0.2,0,72.0,59.0,65.0,Dark Angel,58,0.0
672,4yo+,1609.0,0,5.0,9.0,0.18181818181818185,0,70.0,56.0,65.0,Camacho,57,0.0
673,4yo+,1609.0,0,4.0,10.0,0.13333333333333333,0,62.0,46.0,63.0,Dream Ahead,57,0.0
674,4yo+,1609.0,0,4.0,4.0,0.047619047619047616,0,63.0,46.0,68.0,Le Havre,59,0.0
675,4yo+,1609.0,0,5.0,5.0,0.14285714285714285,0,61.0,43.0,67.0,Equiano,59,0.0
676,4yo+,1609.0,0,6.0,2.0,0.05882352941176471,0,60.0,41.0,69.0,New Approach,60,0.0
677,4yo+,1609.0,0,5.0,7.0,0.09090909090909093,0,56.0,36.0,66.0,Raven's Pass,58,0.0
678,4yo+,1609.0,0,7.0,6.0,0.05882352941176471,0,49.0,27.0,66.0,Elusive Pimpernel,58,0.0
679,4yo+,1609.0,0,4.0,2.0,0.26666666666666666,1,90.0,74.0,83.0,Foxwedge,59,1.0
680,4yo+,1609.0,0,4.0,4.0,0.125,0,83.0,67.0,77.0,Champs Elysees,56,0.0
681,4yo+,1609.0,0,7.0,3.0,0.14285714285714285,0,85.0,69.0,81.0,Fastnet Rock,58,0.0
682,4yo+,1609.0,0,7.0,6.0,0.2222222222222222,0,76.0,59.0,76.0,Invincible Spirit,56,0.0
683,4yo+,1609.0,0,7.0,5.0,0.2222222222222222,0,75.0,57.0,77.0,Authorized,56,0.0
684,4yo+,1609.0,0,6.0,1.0,0.16666666666666666,0,66.0,42.0,85.0,Lope De Vega,58,0.0
685,3yo+,1407.0,1,5.0,2.0,0.125,0,106.0,94.0,99.0,Iffraaj,54,1.0
686,3yo+,1407.0,1,6.0,3.0,0.038461538461538464,0,100.0,87.0,97.0,Street Cry,53,0.0
687,3yo+,1407.0,1,9.0,8.0,0.26666666666666666,0,113.0,100.0,110.0,Le Havre,59,0.0
688,3yo+,1407.0,1,6.0,1.0,0.23076923076923075,0,101.0,87.0,102.0,Helmet,55,0.0
690,3yo+,1407.0,1,8.0,11.0,0.038461538461538464,0,90.0,74.0,98.0,Dark Angel,53,0.0
691,3yo+,1407.0,1,9.0,4.0,0.047619047619047616,0,89.0,73.0,102.0,Exceed And Excel,55,0.0
692,3yo+,1407.0,1,5.0,7.0,0.07692307692307693,0,85.0,68.0,100.0,Dark Angel,54,0.0
693,3yo+,1407.0,1,4.0,10.0,0.09090909090909093,0,87.0,70.0,104.0,Excelebration,57,0.0
694,3yo+,1407.0,1,6.0,5.0,0.038461538461538464,0,82.0,64.0,101.0,Dragon Pulse,55,0.0
696,4yo+,2413.0,0,7.0,2.0,0.14285714285714285,0,93.0,68.0,82.0,Kyllachy,60,1.0
697,4yo+,2413.0,0,5.0,3.0,0.2222222222222222,0,84.0,58.0,78.0,Epaulette,58,0.0
698,4yo+,2413.0,0,4.0,5.0,0.2,0,82.0,55.0,78.0,Camelot,57,0.0
700,4yo+,2413.0,0,4.0,7.0,0.1176470588235294,0,73.0,44.0,76.0,Cape Cross,56,0.0
701,4yo+,2413.0,0,4.0,4.0,0.07692307692307693,0,65.0,33.0,80.0,Rajsaman,55,0.0
704,4yo+,2011.0,0,7.0,5.0,0.06666666666666668,0,63.0,35.0,58.0,Mastercraftsman,59,0.0
705,4yo+,2011.0,0,5.0,6.0,0.2,0,61.0,32.0,58.0,Arcano,59,0.0
706,4yo+,2011.0,0,6.0,14.0,0.07692307692307693,0,52.0,23.0,50.0,Dansili,55,0.0
707,4yo+,2011.0,0,5.0,11.0,0.15384615384615385,0,55.0,25.0,53.0,Sir Percy,55,0.0
708,4yo+,2011.0,0,6.0,4.0,0.047619047619047616,0,58.0,28.0,59.0,Sepoy,59,0.0
709,4yo+,2011.0,0,5.0,3.0,0.125,0,57.0,27.0,60.0,Dutch Art,57,0.0
710,4yo+,2011.0,0,9.0,9.0,0.038461538461538464,0,47.0,16.0,55.0,Teofilo,56,0.0
711,4yo+,2011.0,0,4.0,12.0,0.0196078431372549,0,42.0,10.0,54.0,More Than Ready,57,0.0
712,4yo+,2011.0,0,7.0,1.0,0.038461538461538464,0,44.0,12.0,60.0,Cape Cross,60,0.0
713,4yo+,2011.0,0,5.0,8.0,0.25,1,38.0,6.0,55.0,Lethal Force,58,0.0
715,4yo+,4927.5,5,8.0,4.0,0.125,0,116.0,34.0,107.0,Kalanisi,73,1.0
716,4yo+,4927.5,5,8.0,1.0,0.1176470588235294,0,119.0,38.0,112.0,Kalanisi,74,0.0
717,4yo+,4927.5,5,5.0,3.0,0.2222222222222222,1,88.0,10.0,110.0,Black Sam Bellamy,75,0.0
718,4yo+,4927.5,5,8.0,6.0,0.2,0,83.0,5.0,106.0,Mountain High,72,0.0
727,4yo+,1005.0,0,6.0,4.0,0.25,1,105.0,88.0,94.0,Arcano,56,1.0
728,4yo+,1005.0,0,5.0,6.0,0.2,0,94.0,77.0,86.0,Zebedee,52,0.0
729,4yo+,1005.0,0,7.0,7.0,0.07692307692307693,0,89.0,71.0,85.0,Sakhee's Secret,52,0.0
730,4yo+,1005.0,0,5.0,1.0,0.125,0,104.0,86.0,103.0,Society Rock,57,0.0
731,4yo+,1005.0,0,4.0,3.0,0.09090909090909093,0,95.0,77.0,95.0,Swiss Spirit,56,0.0
732,4yo+,1005.0,0,10.0,2.0,0.2222222222222222,0,98.0,80.0,99.0,Pivotal,58,0.0
733,4yo+,1005.0,0,5.0,5.0,0.16666666666666666,0,76.0,57.0,87.0,Swiss Spirit,53,0.0
757,4yo+,2011.0,0,7.0,5.0,0.16666666666666666,0,55.0,46.0,49.0,Lilbourne Lad,55,1.0
758,4yo+,2011.0,0,7.0,7.0,0.1111111111111111,0,54.0,44.0,48.0,Champs Elysees,55,0.0
759,4yo+,2011.0,0,8.0,8.0,0.06666666666666668,0,49.0,39.0,44.0,Rock Of Gibraltar,57,0.0
760,4yo+,2011.0,0,11.0,4.0,0.07692307692307693,0,47.0,36.0,50.0,Cape Cross,57,0.0
