,ages,metric,ncond,age,saddle,decimalPrice,isFav,RPR,TR,OR,father,weight,res_win
76337,4yo+,4022.0,6,5.0,9.0,0.14285714285714285,0,93.0,31.0,84.0,Trans Island,66,1.0
76338,4yo+,4022.0,6,9.0,12.0,0.125,0,93.0,32.0,81.0,Kayf Tara,66,0.0
76339,4yo+,4022.0,6,8.0,13.0,0.01492537313432836,0,83.0,22.0,80.0,Westerner,68,0.0
76340,4yo+,4022.0,6,7.0,3.0,0.029411764705882363,0,95.0,32.0,92.0,Scorpion,74,0.0
76342,4yo+,4022.0,6,7.0,11.0,0.024390243902439025,0,74.0,12.0,83.0,Mahler,70,0.0
76352,4yo+,4827.0,11,6.0,6.0,0.125,0,98.0,11.0,96.0,Getaway,67,0.0
76353,4yo+,4827.0,11,6.0,7.0,0.18181818181818185,0,96.0,9.0,96.0,Scorpion,70,0.0
76355,4yo+,4827.0,11,5.0,3.0,0.05882352941176471,0,98.0,12.0,106.0,Presenting,75,0.0
76380,3yo,1005.0,1,3.0,3.0,0.125,0,83.0,68.0,64.0,Exceed And Excel,61,1.0
76381,3yo,1005.0,1,3.0,12.0,0.043478260869565216,0,63.0,47.0,49.0,Society Rock,54,0.0
76382,3yo,1005.0,1,3.0,1.0,0.25,0,64.0,47.0,64.0,Dream Ahead,62,0.0
76383,3yo,1005.0,1,3.0,9.0,0.14285714285714285,0,55.0,38.0,57.0,Ivawood,60,0.0
76385,3yo,1005.0,1,3.0,11.0,0.1111111111111111,0,43.0,24.0,52.0,Kyllachy,53,0.0
76386,3yo,1005.0,1,3.0,2.0,0.26666666666666666,1,51.0,32.0,64.0,Starspangledbanner,63,0.0
76387,3yo,1005.0,1,3.0,4.0,0.024390243902439025,0,43.0,23.0,63.0,Swiss Spirit,59,0.0
76388,3yo,1005.0,1,3.0,7.0,0.038461538461538464,0,31.0,10.0,61.0,Epaulette,62,0.0
76404,3yo+,2111.5,6,3.0,14.0,0.14285714285714285,0,89.0,78.0,79.0,Galileo,53,1.0
76405,3yo+,2111.5,6,5.0,8.0,0.2,1,85.0,76.0,77.0,Cityscape,55,0.0
