DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE,NOTES
8/29/19,7,MSW-NY-F,,6,Dirt,Saratoga Beauty,6,3.95,FALSE,3,Patrick McBurney,Paco Lopez,1:12.032,SAR 8/7 5,22,Macho Uno,
8/29/19,7,MSW-NY-F,,6,Dirt,Courageous Girl,8,9.30,FALSE,4,David Donk,Manuel Franco,1:12.463,SAR 7/31 3,29,Bourbon Courage,
8/29/19,7,MSW-NY-F,,6,Dirt,Mebs Web,10,60.00,FALSE,5,Nicholas Zito,Joey Martinez,1:12.658,SAR 8/21 5,8,Giant Surprise,
8/29/19,7,MSW-NY-F,,6,Dirt,Canarsie Angel,7,12.50,FALSE,6,Linda Dixon,Kendrick Carmouche,1:13.128,SAR 8/2 3,27,Big Brown,
8/29/19,7,MSW-NY-F,,6,Dirt,Top Hat Invasion,1,79.25,FALSE,7,Jeffrey Englehart,Andre Worrie,1:13.167,,,Normandy Invasion,
8/29/19,7,MSW-NY-F,,6,Dirt,Smokin Hot Kiss,4,48.50,FALSE,8,Marialice Coffey,Eric Cancel,1:13.832,SAR 7/31 3,29,The Lumber Guy,
8/29/19,7,MSW-NY-F,,6,Dirt,Kefaliani,2,31.75,FALSE,9,Charlton Baker,Dylan Davis,1:15.005,,,Hold Me Back,
8/29/19,7,MSW-NY-F,,6,Dirt,Bellamy Bigs,5,66.25,FALSE,10,Edmund Davis,Michael Luzzi,1:15.631,FL 7/15 1,45,Bellamy Road,
8/29/19,9,STK-F,P. G. Johnson S.,8.5,Turf,Crystalle,5,1.65,TRUE,1,John Kimmel,Joel Rosario,1:41.360,SAR 8/4 4,25,Palace Malice,
8/29/19,9,STK-F,P. G. Johnson S.,8.5,Turf,Sweet Melania,7,2.60,FALSE,2,Todd Pletcher,Jose Ortiz,1:41.399,SAR 7/14 1,46,American Pharoah,
8/29/19,9,STK-F,P. G. Johnson S.,8.5,Turf,English Breeze,6,5.20,FALSE,3,David Donk,Manuel Franco,1:41.478,SAR 8/14 6,15,English Channel,
8/29/19,9,STK-F,P. G. Johnson S.,8.5,Turf,Ginseng,2,5.10,FALSE,4,Brad Cox,Javier Castellano,1:41.952,IND 8/6 5,23,Tiznow,
8/29/19,9,STK-F,P. G. Johnson S.,8.5,Turf,Apurate,3,5.60,FALSE,5,Todd Pletcher,John Velazquez,1:42.150,SAR 8/11 3,18,Summer Front,
8/29/19,9,STK-F,P. G. Johnson S.,8.5,Turf,Lively Kitten,4,28.50,FALSE,6,Daniel Velazquez,Abner Adorno,1:43.257,LRL 8/11 1,18,Kitten's Joy,
8/29/19,9,STK-F,P. G. Johnson S.,8.5,Turf,Lucky Jingle,1,25.75,FALSE,7,H. Motion,Rajiv Maragh,1:43.336,LRL 8/10 3,19,Tonalist,
8/30/19,6,MSW-NY,,5.5,Turf,Freewheeler,4,5.00,FALSE,1,Todd Pletcher,"Irad Ortiz, Jr.",1:02.890,,,City Zip,
8/30/19,6,MSW-NY,,5.5,Turf,Dante's Fire,2,43.75,FALSE,2,Michael Maker,Manuel Franco,1:03.685,,,Temple City,
8/30/19,6,MSW-NY,,5.5,Turf,First Deputy,6,1.10,TRUE,3,Linda Rice,Jose Ortiz,1:03.685,SAR 8/9 4,21,Awesome Again,
8/30/19,6,MSW-NY,,5.5,Turf,True Grace,5,4.50,FALSE,4,Christophe Clement,Joel Rosario,1:03.723,SAR 8/23 4,7,Competitive Edge,
8/30/19,6,MSW-NY,,5.5,Turf,Shandian,3,3.75,FALSE,5,Gary Contessa,Javier Castellano,1:03.761,SAR 8/9 4,21,Emcee,
8/30/19,6,MSW-NY,,5.5,Turf,My Father's Eyes,1,14.20,FALSE,6,Steven Asmussen,"Ricardo Santana, Jr.",1:05.163,,,Forty Tales,
8/30/19,6,MSW-NY,,5.5,Turf,Box of Rain,7,12.30,FALSE,7,Jeremiah Englehart,Luis Saez,1:06.907,,,Mineshaft,
8/30/19,7,MSW-F,,5.5,Dirt,Remain Anonymous,9,2.90,FALSE,1,Michael Trombetta,Joel Rosario,1:04.750,,,Tapiture,
8/30/19,7,MSW-F,,5.5,Dirt,Sixth Street,1,9.00,FALSE,2,Mark Hennig,Luis Saez,1:05.257,,,Tapit,
8/30/19,7,MSW-F,,5.5,Dirt,Kansas Kis,2,33.50,FALSE,3,Raymond Handal,Dylan Davis,1:05.257,,,Constitution,
8/30/19,7,MSW-F,,5.5,Dirt,Drop a Hint,8,5.30,FALSE,4,D. Lukas,Manuel Franco,1:05.569,SAR 7/31 6,30,Into Mischief,
8/30/19,7,MSW-F,,5.5,Dirt,Leaveuwithasmile,3,7.50,FALSE,5,Jeremiah Englehart,"Jorge Vargas, Jr.",1:05.686,SAR 8/9 6,21,Conveyance,
8/30/19,7,MSW-F,,5.5,Dirt,Hallajoori,6,2.40,TRUE,6,Steven Asmussen,"Ricardo Santana, Jr.",1:05.920,SAR 7/31 6,30,Bayern,
8/30/19,7,MSW-F,,5.5,Dirt,Snaffle,4,11.70,FALSE,7,Kenneth McPeek,Jose Ortiz,1:05.920,,,Distorted Humor,
8/30/19,7,MSW-F,,5.5,Dirt,Superbloodwolfmoon,5,6.50,FALSE,8,Rudy Rodriguez,"Irad Ortiz, Jr.",1:06.076,,,Malibu Moon,
8/30/19,7,MSW-F,,5.5,Dirt,Kemba,7,33.25,FALSE,9,Raymond Handal,Javier Castellano,1:06.622,,,Hard Spun,
8/31/19,1,MSW,,8.5,Turf,Structor,4,1.15,TRUE,1,Chad Brown,"Irad Ortiz, Jr.",1:44.160,,,Palace Malice,
8/31/19,1,MSW,,8.5,Turf,Sul Moon,6,2.20,FALSE,2,William Mott,Junior Alvarado,1:44.363,SAR 7/27 7,35,Malibu Moon,
8/31/19,1,MSW,,8.5,Turf,Eternal Summer,5,13.10,FALSE,3,Todd Pletcher,John Velazquez,1:44.850,SAR 8/3 1,28,Summer Front,
8/31/19,1,MSW,,8.5,Turf,Scanno,3,27.50,FALSE,4,Thomas Albertrani,Luis Saez,1:45.012,,,Bernardini,
8/31/19,1,MSW,,8.5,Turf,Myamanoi,2,20.10,FALSE,5,Danny Gargan,Kendrick Carmouche,1:45.175,,,Temple City,
8/31/19,1,MSW,,8.5,Turf,King's Honor (IRE),1,9.60,FALSE,6,Jonathan Thomas,Javier Castellano,1:45.297,,,Kingman (GB),
8/31/19,1,MSW,,8.5,Turf,Hard Sting,7,6.10,FALSE,7,James Jerkens,Jose Ortiz,1:45.540,SAR 7/27 7,35,Hard Spun,
8/31/19,1,MSW,,8.5,Turf,Pow Wow Prince,8,30.50,FALSE,8,Norm Casse,"Ricardo Santana, Jr.",1:46.556,,,Cairo Prince,
8/31/19,5,MSW,,7,Dirt,Famished,1,1.10,TRUE,1,John Kimmel,Joel Rosario,1:23.770,SAR 8/10 5,21,Uncle Mo,
8/31/19,5,MSW,,7,Dirt,Sonneman,2,25.25,FALSE,2,Mark Hennig,Jose Lezcano,1:23.968,SAR 7/27 4,35,Curlin,
8/31/19,5,MSW,,7,Dirt,Noble Empire,5,34.50,FALSE,3,D. Lukas,Manuel Franco,1:24.126,,,Empire Maker,
8/31/19,5,MSW,,7,Dirt,Hometown Pride,6,12.30,FALSE,4,Ian Wilkes,Chris Landeros,1:24.245,SAR 7/13 4,49,To Honor and Serve,
8/31/19,5,MSW,,7,Dirt,This Ill Defend,9,3.70,FALSE,5,Thomas Albertrani,Luis Reyes,1:24.721,SAR 8/3 3,28,Sky Mesa,
8/31/19,5,MSW,,7,Dirt,Height,3,5.40,FALSE,6,William Mott,Junior Alvarado,1:24.801,SAR 8/3 3,28,Union Rags,
8/31/19,5,MSW,,7,Dirt,Made Sense,4,8.80,FALSE,7,Kenneth McPeek,Jose Ortiz,1:25.594,,,Street Sense,
8/31/19,5,MSW,,7,Dirt,Mud Pie,7,11.30,FALSE,8,Richard Valentine,Kendrick Carmouche,1:25.951,,,Morning Line,
8/31/19,5,MSW,,7,Dirt,Stick Figure,8,37.25,FALSE,9,Dale Romans,Luis Saez,1:29.838,SAR 8/10 7,21,Tiznow,
8/31/19,7,MSW,,7,Dirt,Three Technique,2,1.00,TRUE,1,Jeremiah Englehart,Jose Ortiz,1:22.930,SAR 7/21 8,41,Mr Speaker,
8/31/19,7,MSW,,7,Dirt,Always Misbehaving,7,8.70,FALSE,2,Danny Gargan,"Irad Ortiz, Jr.",1:23.793,SAR 7/27 4,35,Into Mischief,
8/31/19,7,MSW,,7,Dirt,Necker Island,1,22.90,FALSE,3,Stanley Hough,Luis Saez,1:23.911,,,Hard Spun,
8/31/19,7,MSW,,7,Dirt,Kowalski,8,9.50,FALSE,4,D. Lukas,Manuel Franco,1:23.911,SAR 7/27 4,35,Will Take Charge,
8/31/19,7,MSW,,7,Dirt,Wayne O,4,11.20,FALSE,5,Steven Asmussen,"Ricardo Santana, Jr.",1:24.461,SAR 8/3 3,28,Into Mischief,
8/31/19,7,MSW,,7,Dirt,Extreme Force,3,20.30,FALSE,6,Mark Hennig,Jose Lezcano,1:24.657,SAR 8/3 3,28,Constitution,
8/31/19,7,MSW,,7,Dirt,Mischief Afoot,5,33.25,FALSE,7,James Toner,Joel Rosario,1:24.814,,,Into Mischief,
8/31/19,7,MSW,,7,Dirt,Tapage,9,10.90,FALSE,8,Kiaran McLaughlin,Junior Alvarado,1:24.932,,,Tapit,
8/31/19,7,MSW,,7,Dirt,Soviet,6,3.50,FALSE,9,Todd Pletcher,John Velazquez,1:25.953,SAR 7/27 4,35,Super Saver,
8/31/19,8,MSW,,8.5,Turf,No Word,4,3.55,FALSE,1,Todd Pletcher,Jose Ortiz,1:40.870,,,Silent Name (JPN),
8/31/19,8,MSW,,8.5,Turf,Gear Jockey,5,13.40,FALSE,2,"George Arnold, II",Joel Rosario,1:41.223,SAR 8/10 7,21,Twirling Candy,
8/31/19,8,MSW,,8.5,Turf,Shamrocket,6,14.40,FALSE,3,Christophe Clement,Dylan Davis,1:41.420,SAR 8/3 1,28,Tonalist,
8/31/19,8,MSW,,8.5,Turf,Mr Jaggers,3,1.65,TRUE,4,William Mott,Junior Alvarado,1:41.420,SAR 7/13 6,49,Twirling Candy,
8/31/19,8,MSW,,8.5,Turf,Policy Option,2,2.00,FALSE,5,Chad Brown,"Irad Ortiz, Jr.",1:41.892,SAR 8/3 1,28,Empire Maker,
8/31/19,8,MSW,,8.5,Turf,Get Set,1,10.70,FALSE,6,Steve Klesaris,Javier Castellano,1:41.971,PRX 8/3 2,28,Awesome of Course,
8/31/19,8,MSW,,8.5,Turf,Lord Byron,7,21.30,FALSE,7,Danny Gargan,Jose Lezcano,1:42.718,,,Bodemeister,
9/1/19,1,MSW,,5.5,Turf,Chimney Rock,6,3.65,FALSE,1,Michael Maker,Jose Ortiz,1:02.640,SAR 8/3 1,29,Artie Schiller,
9/1/19,1,MSW,,5.5,Turf,Summer Sangria,8,1.60,TRUE,2,Wesley Ward,John Velazquez,1:02.904,SAR 8/1 1,31,Maclean's Music,
9/1/19,1,MSW,,5.5,Turf,Bahamian Prince,4,5.60,FALSE,3,George Weaver,"Irad Ortiz, Jr.",1:03.206,SAR 8/1 3,31,Bahamian Squall,
9/1/19,1,MSW,,5.5,Turf,Las Ramblas,9,17.40,FALSE,4,Wesley Ward,Dylan Davis,1:03.281,,,Karakontie (JPN),
9/1/19,1,MSW,,5.5,Turf,Big Royal Lineage,3,21.10,FALSE,5,Rudy Rodriguez,Luis Saez,1:03.583,SAR 8/1 3,31,Bodemeister,
9/1/19,1,MSW,,5.5,Turf,Montana Man,2,17.50,FALSE,6,Dale Romans,Kendrick Carmouche,1:03.847,SAR 8/14 2,18,Constitution,
9/1/19,1,MSW,,5.5,Turf,Brickyard,1,65.50,FALSE,7,Peter Pugh,Luis Reyes,1:03.961,,,Take Charge Indy,
9/1/19,1,MSW,,5.5,Turf,More Thunder,5,3.15,FALSE,8,Steve Klesaris,Joel Rosario,1:04.602,SAR 8/14 2,18,Goldencents,
9/1/19,1,MSW,,5.5,Turf,Alex Love Candy,7,29.25,FALSE,9,Randi Persaud,Joey Martinez,1:05.093,SAR 8/21 3,11,Candy Ride (ARG),
9/1/19,5,MCL,,5.5,Dirt,Feeling It,8,23.90,FALSE,1,D. Lukas,Luis Reyes,1:04.800,SAR 8/1 3,31,Majesticperfection,
9/1/19,5,MCL,,5.5,Dirt,Vaya Con Dios,5,3.95,FALSE,2,Eric Guillot,Dylan Davis,1:05.541,SAR 8/1 3,31,Majesticperfection,
9/1/19,5,MCL,,5.5,Dirt,Bayern's Mirage,7,2.50,FALSE,3,Gary Gullo,"Irad Ortiz, Jr.",1:05.659,SAR 8/1 3,31,Bayern,
9/1/19,5,MCL,,5.5,Dirt,Aleph,1,25.50,FALSE,4,Gary Contessa,Kendrick Carmouche,1:05.659,,,Alpha,
9/1/19,5,MCL,,5.5,Dirt,O'Bushido,4,2.40,TRUE,5,Todd Pletcher,John Velazquez,1:05.971,,,First Samurai,
9/1/19,5,MCL,,5.5,Dirt,Forever Wicked,6,22.60,FALSE,6,Randi Persaud,Joey Martinez,1:06.244,SAR 8/8 5,24,Wicked Strong,
9/1/19,5,MCL,,5.5,Dirt,Bongga,3,12.20,FALSE,7,Dermot Magner,Eric Cancel,1:06.283,,,Liam's Map,
9/1/19,5,MCL,,5.5,Dirt,Bobbyfromthepalm,9,6.80,FALSE,8,Rudy Rodriguez,Manuel Franco,1:06.361,,,Overanalyze,
9/1/19,5,MCL,,5.5,Dirt,Tipazo,2,44.00,FALSE,9,Mitchell Friedman,Tyler Gaffalione,1:07.494,,,Macho Uno,
9/1/19,5,MCL,,5.5,Dirt,Florida Flash,10,14.20,FALSE,10,Dale Romans,Luis Saez,1:07.572,,,Constitution,
9/1/19,7,MSW-F,,8.5,Turf,Sparkling Sky,6,1.35,TRUE,1,Todd Pletcher,Jose Ortiz,1:42.300,SAR 8/4 4,28,More Than Ready,
9/1/19,7,MSW-F,,8.5,Turf,Our Little Jewel,5,10.10,FALSE,2,Michael Trombetta,Luis Saez,1:42.698,SAR 8/9 6,23,Hat Trick (JPN),
9/1/19,7,MSW-F,,8.5,Turf,Boxer Rebellion,2,2.20,FALSE,3,Chad Brown,"Irad Ortiz, Jr.",1:43.057,,,Empire Maker,
9/1/19,7,MSW-F,,8.5,Turf,Laughable,1,6.80,FALSE,4,Todd Pletcher,Tyler Gaffalione,1:43.177,,,Distorted Humor,
9/1/19,7,MSW-F,,8.5,Turf,Mirabell Mei,7,38.00,FALSE,5,John Terranova II,Rajiv Maragh,1:43.257,,,Palace Malice,
9/1/19,7,MSW-F,,8.5,Turf,Malibu June,8,51.25,FALSE,6,Leah Gyarmati,Kendrick Carmouche,1:43.456,,,Malibu Moon,
9/1/19,7,MSW-F,,8.5,Turf,Andiama,4,34.75,FALSE,7,Cherie DeVaux,"Ricardo Santana, Jr.",1:43.696,,,Lea,
9/1/19,7,MSW-F,,8.5,Turf,Bridal Path,3,4.80,FALSE,8,Claude McGaughey III,Joel Rosario,1:43.855,SAR 8/4 4,28,Hard Spun,
9/1/19,8,MSW-F,,7,Dirt,Alandra,7,7.40,FALSE,1,Claude McGaughey III,Joel Rosario,1:23.340,,,Blame,
9/1/19,8,MSW-F,,7,Dirt,Slam Dunk,9,1.75,TRUE,2,Rodolphe Brisset,Javier Castellano,1:23.418,SAR 7/31 6,32,Into Mischief,
9/1/19,8,MSW-F,,7,Dirt,Day Dayenu,1,6.70,FALSE,3,Jorge Abreu,Manuel Franco,1:24.208,,,Into Mischief,
9/1/19,8,MSW-F,,7,Dirt,Impeccable Style,8,17.30,FALSE,4,Kenneth McPeek,Junior Alvarado,1:24.247,,,Uncle Mo,
9/1/19,8,MSW-F,,7,Dirt,Always a Queen,4,3.60,FALSE,5,Todd Pletcher,Jose Ortiz,1:24.365,,,Tonalist,
9/1/19,8,MSW-F,,7,Dirt,Cleopatra's Charm,5,19.90,FALSE,6,D. Lukas,Luis Saez,1:24.563,,,Pioneerof the Nile,
9/1/19,8,MSW-F,,7,Dirt,One Time Around,3,12.20,FALSE,7,Mark Hennig,Tyler Gaffalione,1:25.668,SAR 7/31 6,32,Empire Maker,
9/1/19,8,MSW-F,,7,Dirt,Miss My Macho,2,29.25,FALSE,8,Katherine Ritvo,Rajiv Maragh,1:25.904,SAR 8/4 4,28,Mucho Macho Man,
9/1/19,8,MSW-F,,7,Dirt,Buxom Beast,6,5.40,FALSE,9,Gary Contessa,Kendrick Carmouche,1:26.615,SAR 7/11 8,52,The Big Beast,
9/1/19,11,GRD-F,Spinaway S.,7,Dirt,Perfect Alibi,3,5.20,FALSE,1,Mark Casse,"Irad Ortiz, Jr.",1:23.440,SAR 8/4 10,28,Sky Mesa,
9/1/19,11,GRD-F,Spinaway S.,7,Dirt,Frank's Rockette,2,1.95,TRUE,2,William Mott,Julien Leparoux,1:23.637,SAR 8/4 10,28,Into Mischief,
9/1/19,11,GRD-F,Spinaway S.,7,Dirt,Figure of Speech,5,3.65,FALSE,3,Chad Brown,Javier Castellano,1:24.427,SAR 7/31 6,32,Into Mischief,
9/1/19,11,GRD-F,Spinaway S.,7,Dirt,Miss Peppina,4,15.10,FALSE,4,Gary Gullo,Joel Rosario,1:24.585,SAR 8/4 10,28,Bayern,
9/1/19,11,GRD-F,Spinaway S.,7,Dirt,Shippy,7,3.70,FALSE,5,Katherine Ritvo,Luis Saez,1:24.862,SAR 7/11 8,52,Midshipman,
9/1/19,11,GRD-F,Spinaway S.,7,Dirt,Risky Mischief,6,6.60,FALSE,6,Jeremiah Englehart,Jose Ortiz,1:25.099,SAR 7/31 3,32,Into Mischief,
9/1/19,11,GRD-F,Spinaway S.,7,Dirt,Mundaye Call,1,12.30,FALSE,7,Don Chatlos,Tyler Gaffalione,1:26.284,SAR 8/11 6,21,Into Mischief,
9/2/19,6,MSW,,5.5,Dirt,Gouverneur Morris,6,0.65,TRUE,1,Todd Pletcher,John Velazquez,1:04.290,,,Constitution,
9/2/19,6,MSW,,5.5,Dirt,Maximiliano,1,3.75,FALSE,2,Wesley Ward,Jose Ortiz,1:05.684,,,Quality Road,
9/2/19,6,MSW,,5.5,Dirt,Secret Rules,7,5.10,FALSE,3,William Mott,Junior Alvarado,1:05.878,,,Secret Circle,
9/2/19,6,MSW,,5.5,Dirt,Malibu Edge,4,8.50,FALSE,4,Claude McGaughey III,Joel Rosario,1:06.498,,,Malibu Moon,
9/2/19,6,MSW,,5.5,Dirt,Nashvegas,3,37.75,FALSE,5,Nicholas Zito,Eric Cancel,1:07.893,,,Aikenite,
9/2/19,6,MSW,,5.5,Dirt,Tadeo,5,21.10,FALSE,6,Kiaran McLaughlin,Jose Lezcano,1:08.009,,,Sky Mesa,
9/2/19,6,MSW,,5.5,Dirt,Clifton Park,2,24.00,FALSE,7,Dale Romans,Luis Saez,1:08.357,,,Awesome Again,
9/2/19,10,GRD,Runhappy Hopeful S.,7,Dirt,Basin,6,3.10,FALSE,1,Steven Asmussen,Jose Ortiz,1:23.480,SAR 7/21 8,43,Liam's Map,
9/2/19,10,GRD,Runhappy Hopeful S.,7,Dirt,Shoplifted,1,2.80,FALSE,2,Steven Asmussen,Joel Rosario,1:24.507,SAR 7/27 4,37,Into Mischief,
9/2/19,10,GRD,Runhappy Hopeful S.,7,Dirt,Gozilla,3,1.30,TRUE,3,Steven Asmussen,"Ricardo Santana, Jr.",1:24.547,SAR 8/10 7,23,Flatter,
9/2/19,10,GRD,Runhappy Hopeful S.,7,Dirt,American Butterfly,2,14.10,FALSE,4,D. Lukas,Luis Saez,1:24.863,SAR 8/17 7,16,American Pharoah,
9/2/19,10,GRD,Runhappy Hopeful S.,7,Dirt,By Your Side,4,5.20,FALSE,5,Eddie Kenneally,"Irad Ortiz, Jr.",1:24.982,SAR 7/13 3,51,Constitution,
9/2/19,10,GRD,Runhappy Hopeful S.,7,Dirt,Inside Risk,5,37.25,FALSE,6,Thomas Morley,Dylan Davis,1:25.693,SAR 8/1 3,32,Street Sense,
