DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE,NOTES
8/21/19,5,MSW-NY-F,,5.5,Dirt,Mebs Web,3,54.00,FALSE,8,Nicholas Zito,Joey Martinez,1:06.660,,,Giant Surprise,
8/21/19,5,MSW-NY-F,,5.5,Dirt,Barbara's Bank,2,20.30,FALSE,9,Eduardo Jones,Kendrick Carmouche,1:06.778,,,Bank Heist,
8/21/19,5,MSW-NY-F,,5.5,Dirt,Manage My Credit,9,32.00,FALSE,10,Gary Gullo,"Irad Ortiz, Jr.",1:09.408,,,Micromanage,
8/21/19,6,MSW,,7,Dirt,Flute Maker,6,2.65,FALSE,1,Kenneth McPeek,Jose Ortiz,1:24.480,ELP 6/30 7,52,Sky Mesa,
8/21/19,6,MSW,,7,Dirt,Like You,5,12.60,FALSE,2,Rudy Rodriguez,Luis Reyes,1:26.320,,,Distorted Humor,
8/21/19,6,MSW,,7,Dirt,Legend of Bam,3,4.50,FALSE,3,Rudy Rodriguez,"Irad Ortiz, Jr.",1:26.480,,,Golden Ticket,
8/21/19,6,MSW,,7,Dirt,Breed's Hill,8,8.70,FALSE,4,Barbara Minshall,"Ricardo Santana, Jr.",1:27.080,,,Revolutionary,
8/21/19,6,MSW,,7,Dirt,Ninth of April,4,14.40,FALSE,5,Edmund Davis,Joe Bravo,1:27.440,SAR 8/1 1,20,Shanghai Bobby,
8/21/19,6,MSW,,7,Dirt,Justintimeforwine,2,7.60,FALSE,6,Gary Contessa,Tyler Gaffalione,1:27.800,SAR 8/1 1,20,Justin Phillip,
8/21/19,6,MSW,,7,Dirt,Smite,1,1.75,TRUE,7,Joe Sharp,Luis Saez,1:27.880,SAR 8/1 1,20,Congrats,
8/21/19,6,MSW,,7,Dirt,Lovedisc,7,43.75,FALSE,8,Jaime Mejia,Jose Gallego,1:30.440,,,Grey Swallow,
8/22/19,5,MSW-F,,7,Dirt,Wicked Title,3,9.10,FALSE,1,Chad Summers,Joel Rosario,1:24.970,SAR 7/31 5,22,Wicked Strong,
8/22/19,5,MSW-F,,7,Dirt,Raggedy Annie,5,2.35,FALSE,2,D. Lukas,Rajiv Maragh,1:24.978,SAR 7/17 5,36,Union Rags,
8/22/19,5,MSW-F,,7,Dirt,Project Whiskey,6,1.25,TRUE,3,"Robert Reid, Jr.",Kendrick Carmouche,1:24.986,SAR 7/17 5,36,Tapizar,
8/22/19,5,MSW-F,,7,Dirt,La Negrita,2,5.30,FALSE,4,Rudy Rodriguez,Manuel Franco,1:25.533,SAR 8/9 6,13,Fed Biz,
8/22/19,5,MSW-F,,7,Dirt,Central Capital,7,11.90,FALSE,5,Leah Gyarmati,Junior Alvarado,1:26.217,SAR 7/31 5,22,Central Banker,
8/22/19,5,MSW-F,,7,Dirt,Sweet Leaf,1,14.30,FALSE,6,Gary Contessa,Luis Reyes,1:26.780,,,Jimmy Creed,
8/22/19,5,MSW-F,,7,Dirt,Let It Slide,4,17.90,FALSE,7,Bruce Brown,Michael Luzzi,1:28.349,,,Freud,
8/22/19,6,MSW,,9,Dirt,Enforceable,3,1.10,TRUE,1,Mark Casse,Jose Ortiz,1:50.700,SAR 7/13 6,40,Tapit,
8/22/19,6,MSW,,9,Dirt,Mo and Go,4,12.50,FALSE,2,Jeremiah Englehart,Luis Saez,1:50.822,SAR 7/27 7,26,Uncle Mo,
8/22/19,6,MSW,,9,Dirt,Lucky Curlin,2,1.10,TRUE,3,Mark Casse,Tyler Gaffalione,1:50.863,SAR 7/21 8,32,Curlin,
8/22/19,6,MSW,,9,Dirt,Portos,6,4.00,FALSE,4,Todd Pletcher,John Velazquez,1:51.229,,,Tapit,
8/22/19,6,MSW,,9,Dirt,Cowtown,5,6.40,FALSE,5,Todd Pletcher,"Irad Ortiz, Jr.",1:52.045,,,Tonalist,
8/22/19,6,MSW,,9,Dirt,Zuzudini,7,36.00,FALSE,6,Edward Barker,Dylan Davis,1:52.412,,,Bernardini,
8/22/19,6,MSW,,9,Dirt,Crossing the Moon,8,4.10,FALSE,7,Kenneth McPeek,Joel Rosario,1:52.412,SAR 7/27 7,26,Cross Traffic,
8/22/19,6,MSW,,9,Dirt,Ghost of the Mambo,9,16.50,FALSE,8,William Mott,Junior Alvarado,1:52.656,SAR 8/10 5,12,Ghostzapper,
8/22/19,6,MSW,,9,Dirt,Imperare,1,22.20,FALSE,9,"Albert Stall, Jr.",Manuel Franco,1:53.716,,,Empire Maker,
8/23/19,1,MSW-NY-F,,5.5,Turf,Ava K's Girl,4,10.80,FALSE,1,Michelle Nevin,Joel Rosario,1:03.770,,,Giant's Causeway,
8/23/19,1,MSW-NY-F,,5.5,Turf,Single Verse,8,3.50,FALSE,2,Bruce Brown,Tyler Gaffalione,1:03.808,SAR 7/17 10,37,Mineshaft,
8/23/19,1,MSW-NY-F,,5.5,Turf,Stretchthestory,3,11.40,FALSE,3,Christophe Clement,Junior Alvarado,1:04.115,,,Lookin at Lucky,
8/23/19,1,MSW-NY-F,,5.5,Turf,Jen's Battle,6,4.00,FALSE,4,Gary Contessa,Manuel Franco,1:04.115,SAR 7/24 3,30,Declaration of War,
8/23/19,1,MSW-NY-F,,5.5,Turf,Unicorn Sally,5,39.00,FALSE,5,John Kimmel,Chris Landeros,1:04.231,,,Point of Entry,
8/23/19,1,MSW-NY-F,,5.5,Turf,A Freud of Mama,2,17.60,FALSE,6,Michael Maker,Luis Saez,1:04.423,,,Freud,
8/23/19,1,MSW-NY-F,,5.5,Turf,Deeply Analytical,1,1.50,TRUE,7,Chad Brown,Javier Castellano,1:04.615,,,Majestic City,
