rid,winningTime,ncond,class,age,decimalPrice,isFav,outHandicap,RPR,OR,TR,runners,res_win
113785,489.97,10,4,9,0.2222222222222222,0.0,2.54135893648449,113.0,102.0,39.0,8.0,1.0
113785,489.97,10,4,12,0.2666666666666666,1.0,2.54135893648449,102.0,96.0,30.0,8.0,0.0
113785,489.97,10,4,8,0.1538461538461538,0.0,2.54135893648449,96.0,100.0,24.0,8.0,0.0
113785,489.97,10,4,10,0.0666666666666666,0.0,2.54135893648449,69.0,107.0,4.0,8.0,0.0
114207,400.9,10,4,7,0.6363636363636364,1.0,2.54135893648449,144.0,131.0,77.0,2.0,1.0
114207,400.9,10,4,8,0.4210526315789473,0.0,2.54135893648449,131.0,132.0,64.0,2.0,0.0
114335,87.92,0,3,5,0.3333333333333333,0.0,2.54135893648449,103.0,93.0,74.0,5.0,1.0
114335,87.92,0,3,4,0.4210526315789473,1.0,2.54135893648449,104.0,96.0,75.0,5.0,0.0
114335,87.92,0,3,6,0.0909090909090909,0.0,2.0,79.0,79.0,49.0,5.0,0.0
114335,87.92,0,3,8,0.0769230769230769,0.0,2.54135893648449,60.0,82.0,28.0,5.0,0.0
114335,87.92,0,3,5,0.1666666666666666,0.0,2.54135893648449,56.0,84.0,23.0,5.0,0.0
114734,250.0,6,0,6,0.1818181818181818,0.0,2.54135893648449,124.0,105.0,96.0,8.0,1.0
114734,250.0,6,0,5,0.125,0.0,2.54135893648449,102.0,102.0,68.0,8.0,0.0
114734,250.0,6,0,15,0.0588235294117647,0.0,2.54135893648449,83.0,107.0,35.0,8.0,0.0
114734,250.0,6,0,6,0.1666666666666666,0.0,2.54135893648449,71.0,100.0,27.0,8.0,0.0
115750,296.5,10,4,9,0.1818181818181818,0.0,2.54135893648449,134.0,118.0,119.0,6.0,1.0
115750,296.5,10,4,10,0.1111111111111111,0.0,2.54135893648449,127.0,115.0,113.0,6.0,0.0
115750,296.5,10,4,9,0.4210526315789473,1.0,3.0,103.0,92.0,90.0,6.0,0.0
115750,296.5,10,4,6,0.1428571428571428,0.0,2.54135893648449,115.0,107.0,98.0,6.0,0.0
