race_date,race_no,race_country,dividends,last_updated
2016-10-01,3,HK,"{""quinella"": [{""combination"": [9, 12], ""dividend"": 1252.0}], ""quartet"": [{""combination"": [9, 12, 13, 4], ""dividend"": 115251.0}], ""null"": [], ""qpl"": [{""combination"": [9, 12], ""dividend"": 320.0}, {""combination"": [9, 13], ""dividend"": 499.5}, {""combination"": [12, 13], ""dividend"": 111.5}], ""tierce"": [{""combination"": [9, 12, 13], ""dividend"": 29812.0}], ""pla"": [{""combination"": [9], ""dividend"": 57.0}, {""combination"": [12], ""dividend"": 23.0}, {""combination"": [13], ""dividend"": 35.5}], ""win"": [{""combination"": [9], ""dividend"": 321.5}]}",2016-10-02 00:14:45.252519
2016-10-01,4,HK,"{""quartet"": [{""combination"": [8, 5, 1, 9], ""dividend"": 74539.0}], ""quinella"": [{""combination"": [5, 8], ""dividend"": 145.0}], ""tierce"": [{""combination"": [8, 5, 1], ""dividend"": 2687.0}], ""pla"": [{""combination"": [8], ""dividend"": 32.5}, {""combination"": [5], ""dividend"": 11.0}, {""combination"": [1], ""dividend"": 19.0}], ""qpl"": [{""combination"": [5, 8], ""dividend"": 53.5}, {""combination"": [1, 8], ""dividend"": 126.0}, {""combination"": [1, 5], ""dividend"": 29.0}], ""win"": [{""combination"": [8], ""dividend"": 190.0}], ""null"": []}",2016-10-02 01:05:18.780275
2016-10-01,5,HK,"{""quartet"": [{""combination"": [8, 9, 13, 3], ""dividend"": 61885.0}], ""quinella"": [{""combination"": [8, 9], ""dividend"": 544.0}], ""tierce"": [{""combination"": [8, 9, 13], ""dividend"": 8337.0}], ""pla"": [{""combination"": [8], ""dividend"": 26.5}, {""combination"": [9], ""dividend"": 45.5}, {""combination"": [13], ""dividend"": 29.5}], ""qpl"": [{""combination"": [8, 9], ""dividend"": 148.0}, {""combination"": [8, 13], ""dividend"": 92.0}, {""combination"": [9, 13], ""dividend"": 183.0}], ""win"": [{""combination"": [8], ""dividend"": 74.0}], ""null"": []}",2016-10-02 01:06:01.699987
2016-10-01,6,HK,"{""quartet"": [{""combination"": [5, 14, 12, 6], ""dividend"": 6583.0}], ""quinella"": [{""combination"": [5, 14], ""dividend"": 170.5}], ""tierce"": [{""combination"": [5, 14, 12], ""dividend"": 1521.0}], ""pla"": [{""combination"": [5], ""dividend"": 13.0}, {""combination"": [14], ""dividend"": 37.5}, {""combination"": [12], ""dividend"": 22.0}], ""qpl"": [{""combination"": [5, 14], ""dividend"": 66.0}, {""combination"": [5, 12], ""dividend"": 41.0}, {""combination"": [12, 14], ""dividend"": 129.5}], ""win"": [{""combination"": [5], ""dividend"": 22.0}], ""null"": []}",2016-10-02 01:06:50.533264
2016-10-01,7,HK,"{""quartet"": [{""combination"": [5, 2, 7, 11], ""dividend"": 847273.0}], ""quinella"": [{""combination"": [2, 5], ""dividend"": 3097.0}], ""tierce"": [{""combination"": [5, 2, 7], ""dividend"": 67690.0}], ""pla"": [{""combination"": [5], ""dividend"": 19.5}, {""combination"": [2], ""dividend"": 233.0}, {""combination"": [7], ""dividend"": 67.5}], ""qpl"": [{""combination"": [2, 5], ""dividend"": 960.0}, {""combination"": [5, 7], ""dividend"": 172.0}, {""combination"": [2, 7], ""dividend"": 2156.5}], ""win"": [{""combination"": [5], ""dividend"": 61.0}], ""null"": []}",2016-10-02 01:07:18.903163
2016-10-01,11,HK,"{""quartet"": [{""combination"": [10, 3, 5, 2], ""dividend"": 45047.0}], ""quinella"": [{""combination"": [3, 10], ""dividend"": 652.0}], ""tierce"": [{""combination"": [10, 3, 5], ""dividend"": 12332.0}], ""pla"": [{""combination"": [10], ""dividend"": 92.0}, {""combination"": [3], ""dividend"": 13.0}, {""combination"": [5], ""dividend"": 23.0}], ""qpl"": [{""combination"": [3, 10], ""dividend"": 187.5}, {""combination"": [5, 10], ""dividend"": 466.0}, {""combination"": [3, 5], ""dividend"": 43.0}], ""win"": [{""combination"": [10], ""dividend"": 510.0}], ""null"": []}",2016-10-02 01:08:05.433100
2016-10-01,8,HK,"{""quartet"": [{""combination"": [3, 5, 1, 6], ""dividend"": 5301.0}], ""quinella"": [{""combination"": [3, 5], ""dividend"": 136.0}], ""tierce"": [{""combination"": [3, 5, 1], ""dividend"": 1089.0}], ""pla"": [{""combination"": [3], ""dividend"": 16.5}, {""combination"": [5], ""dividend"": 15.5}, {""combination"": [1], ""dividend"": 14.0}], ""qpl"": [{""combination"": [3, 5], ""dividend"": 42.5}, {""combination"": [1, 3], ""dividend"": 38.5}, {""combination"": [1, 5], ""dividend"": 28.5}], ""win"": [{""combination"": [3], ""dividend"": 56.0}], ""null"": []}",2016-10-02 01:08:51.351431
2016-10-01,9,HK,"{""quartet"": [{""combination"": [2, 4, 8, 5], ""dividend"": 2111846.0}], ""quinella"": [{""combination"": [2, 4], ""dividend"": 2515.0}], ""tierce"": [{""combination"": [2, 4, 8], ""dividend"": 112146.0}], ""pla"": [{""combination"": [2], ""dividend"": 62.5}, {""combination"": [4], ""dividend"": 49.5}, {""combination"": [8], ""dividend"": 133.0}], ""qpl"": [{""combination"": [2, 4], ""dividend"": 560.5}, {""combination"": [2, 8], ""dividend"": 1100.5}, {""combination"": [4, 8], ""dividend"": 1073.5}], ""win"": [{""combination"": [2], ""dividend"": 292.0}], ""null"": []}",2016-10-02 01:09:14.072850
2016-10-01,10,HK,"{""quartet"": [{""combination"": [11, 2, 4, 10], ""dividend"": 20267.0}], ""quinella"": [{""combination"": [2, 11], ""dividend"": 136.0}], ""tierce"": [{""combination"": [11, 2, 4], ""dividend"": 2041.0}], ""pla"": [{""combination"": [11], ""dividend"": 12.5}, {""combination"": [2], ""dividend"": 27.0}, {""combination"": [4], ""dividend"": 56.5}], ""qpl"": [{""combination"": [2, 11], ""dividend"": 57.0}, {""combination"": [4, 11], ""dividend"": 111.5}, {""combination"": [2, 4], ""dividend"": 180.0}], ""win"": [{""combination"": [11], ""dividend"": 21.0}], ""null"": []}",2016-10-02 01:09:50.770884
2016-10-05,4,HK,"{""pla"": [{""combination"": [4], ""dividend"": 18.0}, {""combination"": [12], ""dividend"": 44.0}, {""combination"": [10], ""dividend"": 25.5}], ""tierce"": [{""combination"": [4, 12, 10], ""dividend"": 4114.0}], ""quinella"": [{""combination"": [4, 12], ""dividend"": 256.5}], ""null"": [], ""win"": [{""combination"": [4], ""dividend"": 49.5}], ""qpl"": [{""combination"": [4, 12], ""dividend"": 105.5}, {""combination"": [4, 10], ""dividend"": 76.5}, {""combination"": [10, 12], ""dividend"": 182.0}], ""quartet"": [{""combination"": [4, 12, 10, 11], ""dividend"": 56102.0}]}",2016-10-06 00:11:35.639597
2016-10-05,5,HK,"{""pla"": [{""combination"": [2], ""dividend"": 13.0}, {""combination"": [9], ""dividend"": 30.0}, {""combination"": [3], ""dividend"": 26.0}], ""tierce"": [{""combination"": [2, 9, 3], ""dividend"": 1548.0}], ""quinella"": [{""combination"": [2, 9], ""dividend"": 126.5}], ""null"": [], ""win"": [{""combination"": [2], ""dividend"": 26.5}], ""qpl"": [{""combination"": [2, 9], ""dividend"": 48.0}, {""combination"": [2, 3], ""dividend"": 51.5}, {""combination"": [3, 9], ""dividend"": 176.0}], ""quartet"": [{""combination"": [2, 9, 3, 1], ""dividend"": 13470.0}]}",2016-10-06 00:12:22.269496
2016-10-05,6,HK,"{""pla"": [{""combination"": [4], ""dividend"": 19.5}, {""combination"": [10], ""dividend"": 20.0}, {""combination"": [7], ""dividend"": 31.5}], ""tierce"": [{""combination"": [4, 10, 7], ""dividend"": 1776.0}], ""quinella"": [{""combination"": [4, 10], ""dividend"": 133.0}], ""null"": [], ""win"": [{""combination"": [4], ""dividend"": 52.0}], ""qpl"": [{""combination"": [4, 10], ""dividend"": 51.5}, {""combination"": [4, 7], ""dividend"": 98.0}, {""combination"": [7, 10], ""dividend"": 103.5}], ""quartet"": [{""combination"": [4, 10, 7, 12], ""dividend"": 11304.0}]}",2016-10-06 00:13:13.254432
2016-10-05,8,HK,"{""pla"": [{""combination"": [1], ""dividend"": 24.0}, {""combination"": [2], ""dividend"": 36.5}, {""combination"": [12], ""dividend"": 13.0}], ""tierce"": [{""combination"": [1, 2, 12], ""dividend"": 3888.0}], ""quinella"": [{""combination"": [1, 2], ""dividend"": 473.5}], ""null"": [], ""win"": [{""combination"": [1], ""dividend"": 120.0}], ""qpl"": [{""combination"": [1, 2], ""dividend"": 127.0}, {""combination"": [1, 12], ""dividend"": 45.0}, {""combination"": [2, 12], ""dividend"": 57.0}], ""quartet"": [{""combination"": [1, 2, 12, 11], ""dividend"": 105689.0}]}",2016-10-06 00:13:49.691183
2016-10-05,7,HK,"{""pla"": [{""combination"": [2], ""dividend"": 84.5}, {""combination"": [10], ""dividend"": 32.5}, {""combination"": [7], ""dividend"": 29.5}], ""tierce"": [{""combination"": [2, 10, 7], ""dividend"": 33446.0}], ""quinella"": [{""combination"": [2, 10], ""dividend"": 2358.0}], ""null"": [], ""win"": [{""combination"": [2], ""dividend"": 417.0}], ""qpl"": [{""combination"": [2, 10], ""dividend"": 537.0}, {""combination"": [2, 7], ""dividend"": 417.0}, {""combination"": [7, 10], ""dividend"": 221.5}], ""quartet"": [{""combination"": [2, 10, 7, 4], ""dividend"": 463824.0}]}",2016-10-06 00:14:18.589134
2016-10-05,1,HK,"{""pla"": [{""combination"": [11], ""dividend"": 13.5}, {""combination"": [2], ""dividend"": 39.5}, {""combination"": [1], ""dividend"": 58.0}], ""tierce"": [{""combination"": [11, 2, 1], ""dividend"": 3750.0}], ""quinella"": [{""combination"": [2, 11], ""dividend"": 160.5}], ""null"": [], ""win"": [{""combination"": [11], ""dividend"": 28.0}], ""qpl"": [{""combination"": [2, 11], ""dividend"": 73.5}, {""combination"": [1, 11], ""dividend"": 107.0}, {""combination"": [1, 2], ""dividend"": 419.5}], ""quartet"": [{""combination"": [11, 2, 1, 7], ""dividend"": 38395.0}]}",2016-10-06 00:15:05.459036
2016-10-05,2,HK,"{""pla"": [{""combination"": [10], ""dividend"": 23.5}, {""combination"": [2], ""dividend"": 13.0}, {""combination"": [3], ""dividend"": 15.0}], ""tierce"": [{""combination"": [10, 2, 3], ""dividend"": 797.0}], ""quinella"": [{""combination"": [2, 10], ""dividend"": 90.5}], ""null"": [], ""win"": [{""combination"": [10], ""dividend"": 75.5}], ""qpl"": [{""combination"": [2, 10], ""dividend"": 39.0}, {""combination"": [3, 10], ""dividend"": 40.0}, {""combination"": [2, 3], ""dividend"": 30.5}], ""quartet"": [{""combination"": [10, 2, 3, 7], ""dividend"": 5951.0}]}",2016-10-06 00:15:59.014229
2016-10-05,3,HK,"{""pla"": [{""combination"": [4], ""dividend"": 14.0}, {""combination"": [5], ""dividend"": 37.5}, {""combination"": [6], ""dividend"": 15.5}], ""tierce"": [{""combination"": [4, 5, 6], ""dividend"": 1296.0}], ""quinella"": [{""combination"": [4, 5], ""dividend"": 179.5}], ""null"": [], ""win"": [{""combination"": [4], ""dividend"": 29.0}], ""qpl"": [{""combination"": [4, 5], ""dividend"": 63.5}, {""combination"": [4, 6], ""dividend"": 31.5}, {""combination"": [5, 6], ""dividend"": 78.0}], ""quartet"": [{""combination"": [4, 5, 6, 10], ""dividend"": 14388.0}]}",2016-10-06 00:16:34.218383
2016-10-08,2,HK,"{""quartet"": [{""dividend"": 168809.0, ""combination"": [1, 3, 7, 13]}], ""quinella"": [{""dividend"": 1144.0, ""combination"": [1, 3]}], ""null"": [], ""pla"": [{""dividend"": 35.0, ""combination"": [1]}, {""dividend"": 59.5, ""combination"": [3]}, {""dividend"": 53.5, ""combination"": [7]}], ""tierce"": [{""dividend"": 24356.0, ""combination"": [1, 3, 7]}], ""win"": [{""dividend"": 105.5, ""combination"": [1]}], ""qpl"": [{""dividend"": 284.5, ""combination"": [1, 3]}, {""dividend"": 416.0, ""combination"": [1, 7]}, {""dividend"": 487.0, ""combination"": [3, 7]}]}",2016-10-09 00:13:04.273694
2016-10-08,4,HK,"{""quartet"": [{""dividend"": 58603.0, ""combination"": [2, 7, 11, 4]}], ""quinella"": [{""dividend"": 364.5, ""combination"": [2, 7]}], ""null"": [], ""pla"": [{""dividend"": 25.5, ""combination"": [2]}, {""dividend"": 32.0, ""combination"": [7]}, {""dividend"": 16.5, ""combination"": [11]}], ""tierce"": [{""dividend"": 3294.0, ""combination"": [2, 7, 11]}], ""win"": [{""dividend"": 74.0, ""combination"": [2]}], ""qpl"": [{""dividend"": 129.5, ""combination"": [2, 7]}, {""dividend"": 56.0, ""combination"": [2, 11]}, {""dividend"": 71.5, ""combination"": [7, 11]}]}",2016-10-09 00:13:53.945539
