race_date,race_no,race_location,race_country,race_id,race_time,track,race_class,course,going,distance,rating,horse_list,results_available,last_updated
2017-06-11 00:00:00.000000,4,ST,HK,,14:30,Turf,4,C,Good To Firm,2200,60-35,"V189,V039,S023,T416,V238,T092,T105,P151,P405,V122,S147,T108,V392",1,2017-06-12 00:07:39.059308
2017-06-07 00:00:00.000000,7,HV,HK,,22:20,Turf,3,A,Good To Firm,1200,80-60,"T052,A202,A064,V288,P212,P106,V261,P429,T357,V127,A195,A155",1,2017-06-08 00:07:45.152880
2017-06-11 00:00:00.000000,7,ST,HK,,16:10,Turf,2,C,Good To Firm,1400,100-80,"V397,A115,T184,V066,A194,S264,A109,T151,T293,T371,P031,V008",1,2017-06-12 00:08:50.360496
2017-06-09 00:00:00.000000,3,S,SG,5591,19:50,Poly,CLASS 4 (2) ,,GOOD,1200,,"41510,43497,44635,42642,44359,44655,43961,44291,42369",1,2017-06-10 00:07:39.606212
2017-06-04 00:00:00.000000,1,ST,HK,,12:45,Turf,,B,Good To Firm,1200,,"A200,A207,A181,A198,A070,A242",1,2017-06-05 00:05:03.961502
2017-06-04 00:00:00.000000,2,ST,HK,,13:15,Turf,4,B,Good To Firm,1200,60-40,"A257,T373,T422,S133,S349,T320,T178,A078,V386,A174,A046",1,2017-06-05 00:05:21.697790
2017-06-11 00:00:00.000000,1,ST,HK,,13:00,Turf,4,C,Good To Firm,1000,60-40,"V385,A177,A104,A315,A204,A013,A125,V393,A182,A281,A015,A267,A205,V228,V206",1,2017-06-12 00:09:46.013760
2017-06-07 00:00:00.000000,5,HV,HK,,21:20,Turf,3,A,Good To Firm,1800,80-60,"V046,T409,V013,P099,T390,V081,V156,S414,V183,T363,A111,V188",1,2017-06-08 00:05:03.557955
2017-06-07 00:00:00.000000,6,HV,HK,,21:50,Turf,3,A,Good To Firm,1200,80-60,"V012,V293,T210,V370,T358,S431,V055,A164,A022,V053,A158,V358",1,2017-06-08 00:06:01.169892
2017-06-07 00:00:00.000000,3,HV,HK,,20:15,Turf,4,A,Good To Firm,1200,60-40,"V022,T080,V401,A049,T347,V273,V306,V274,A063,V314,T339,A057",1,2017-06-08 00:10:41.764519
2017-06-07 00:00:00.000000,4,HV,HK,,20:50,Turf,4,A,Good To Firm,1650,60-40,"S370,V260,T140,V011,A146,T314,S378,S379,A005,T160,P256,V334",1,2017-06-08 00:11:18.524646
2017-06-11 00:00:00.000000,6,ST,HK,,15:40,Turf,3,C,Good To Firm,1200,80-60,"V229,A079,A296,V390,A130,V059,A203,V250,A072,T302,A163,S172",1,2017-06-12 00:10:26.662806
2017-06-11 00:00:00.000000,11,S,SG,5592,17:55,Turf,CLASS 4 ,D (SC),GOOD,1400,,"44328,43439,43376,43624,44307,44049,43404,44039,43806,44480,43117,43372",1,2017-06-12 00:15:06.906496
2017-06-09 00:00:00.000000,4,S,SG,5591,20:20,Poly,CLASS 5 (2) ,,GOOD,1200,,"44058,42878,42701,42283,43629,43381,43909,40969,41890,43579,42688,41326",1,2017-06-10 00:07:49.492482
2017-06-09 00:00:00.000000,5,S,SG,5591,20:50,Poly,CLASS 5 ,,GOOD,1600,,"42179,44046,41757,44212,40834,44034,42669,44232,43075,44223",1,2017-06-10 00:08:00.818665
2017-06-09 00:00:00.000000,1,S,SG,5591,18:50,Poly,CLASS 5 (1) ,,GOOD,1200,,"44330,44117,43429,44304,41993,44428,44070,42908,43619",1,2017-06-10 00:07:18.850233
2017-06-11 00:00:00.000000,9,ST,HK,,17:15,Turf,3,C,Good To Firm,1400,80-60,"T193,T082,V176,P435,A050,A286,A135,A147,A003,P373,V024,V270,A095,V079",1,2017-06-12 00:11:00.958731
2017-06-11 00:00:00.000000,3,S,SG,5592,13:40,Poly,CLASS 4 ,,GOOD,1700,,"43968,42737,42886,43923,43912,43343,42990,43078,43971,44650",1,2017-06-12 00:13:57.322095
2017-06-09 00:00:00.000000,6,S,SG,5591,21:20,Turf,CLASS 3 ,C (SC),GOOD,1600,,"44508,43765,44111,44282,43897,43200,42742,44721,42825,43636",1,2017-06-10 00:08:07.517749
2017-06-07 00:00:00.000000,8,HV,HK,,22:55,Turf,2,A,Good To Firm,1200,100-80,"T399,P361,S253,T426,N236,T400,S319,V052,T171,A213,S010,T216",1,2017-06-08 00:08:30.850479
2017-06-09 00:00:00.000000,7,S,SG,5591,21:50,Turf,OPEN BENCHMARK 83 ,C (SC),GOOD,1200,,"44005,43570,44283,42811,43145,44608,43494,43586,43934,43704",1,2017-06-10 00:08:17.695802
2017-06-07 00:00:00.000000,2,HV,HK,,19:45,Turf,5,A,Good To Firm,1200,40-0,"T300,S202,N186,N387,N139,T420,T123,V044,S124,P257,V259,S251",1,2017-06-08 00:09:25.549889
